Genome	Pond	Type
CP20G1	Coness Pond	RiPP-like
CP20G1	Coness Pond	NAGGN
CP20G1	Coness Pond	NRP
CP20G1	Coness Pond	NI-Siderophore
CP20G1	Coness Pond	Other
CP20G1	Coness Pond	NRP
CP20G1	Coness Pond	NRP
CP20G1	Coness Pond	NRP
CP20G1	Coness Pond	RiPP-like
CP20G1	Coness Pond	NRP+Polyketide
CP20G1	Coness Pond	NRP
CP20G1	Coness Pond	RiPP-like
CP20G1	Coness Pond	NRPS-like
CP19F2	Coness Pond	NI-Siderophore
CP19F2	Coness Pond	NRP
CP19F2	Coness Pond	NAGGN
CP19F2	Coness Pond	RiPP-like
CP19F2	Coness Pond	Other
CP19F2	Coness Pond	NRP
CP19F2	Coness Pond	NRP
CP19F2	Coness Pond	NRP
CP19F2	Coness Pond	RiPP-like
CP19F2	Coness Pond	RiPP-like
CP19F2	Coness Pond	NRP
CP19F2	Coness Pond	Other:Fatty acid
CP19F2	Coness Pond	NRPS-like
CP17D	Coness Pond	RiPP-like
CP17D	Coness Pond	NRP+Polyketide
CP17D	Coness Pond	NAGGN
CP17D	Coness Pond	NRP
CP17D	Coness Pond	NI-Siderophore
CP17D	Coness Pond	Other:Fatty acid
CP17D	Coness Pond	NRP
CP17D	Coness Pond	Other
CP17D	Coness Pond	NRP
CP17D	Coness Pond	NRP
CP17D	Coness Pond	NRP
CP17D	Coness Pond	RiPP-like
CP17D	Coness Pond	NRPS-like
CP15C	Coness Pond	NI-Siderophore
CP15C	Coness Pond	NRP
CP15C	Coness Pond	NAGGN
CP15C	Coness Pond	Other:Fatty acid
CP15C	Coness Pond	RiPP-like
CP15C	Coness Pond	Other
CP15C	Coness Pond	NRP
CP15C	Coness Pond	NRP
CP15C	Coness Pond	NRP
CP15C	Coness Pond	NRP+Polyketide
CP15C	Coness Pond	RiPP-like
CP15C	Coness Pond	NRP
CP15C	Coness Pond	NRPS-like
CP13A	Coness Pond	NRP+Polyketide
CP13A	Coness Pond	RiPP-like
CP13A	Coness Pond	Other:Fatty acid
CP13A	Coness Pond	NAGGN
CP13A	Coness Pond	NRP
CP13A	Coness Pond	NI-Siderophore
CP13A	Coness Pond	NRP
CP13A	Coness Pond	NRP
CP13A	Coness Pond	Other
CP13A	Coness Pond	NRP
CP13A	Coness Pond	RiPP-like
CP13A	Coness Pond	NRP
CP13A	Coness Pond	NRPS-like
CP12E	Coness Pond	RiPP-like
CP12E	Coness Pond	NRP+Polyketide
CP12E	Coness Pond	NAGGN
CP12E	Coness Pond	NRP
CP12E	Coness Pond	NI-Siderophore
CP12E	Coness Pond	NRP
CP12E	Coness Pond	Other
CP12E	Coness Pond	NRP
CP12E	Coness Pond	NRP
CP12E	Coness Pond	RiPP-like
CP12E	Coness Pond	NRP
CP12E	Coness Pond	RiPP-like
CP12E	Coness Pond	NRPS-like
CP10A	Coness Pond	NI-Siderophore
CP10A	Coness Pond	NRP
CP10A	Coness Pond	NAGGN
CP10A	Coness Pond	RiPP-like
CP10A	Coness Pond	NRP
CP10A	Coness Pond	Other
CP10A	Coness Pond	NRP
CP10A	Coness Pond	RiPP-like
CP10A	Coness Pond	NRP
CP10A	Coness Pond	NRP+Polyketide
CP10A	Coness Pond	RiPP-like
CP10A	Coness Pond	NRP
CP10A	Coness Pond	Other
CP10A	Coness Pond	NRPS-like
CP8C	Coness Pond	NRP
CP8C	Coness Pond	NRP
CP8C	Coness Pond	NRP
CP8C	Coness Pond	RiPP-like
CP8C	Coness Pond	NRP
CP8C	Coness Pond	NI-Siderophore
CP8C	Coness Pond	Other
CP8C	Coness Pond	NRP+Polyketide
CP8C	Coness Pond	RiPP-like
CP8C	Coness Pond	NAGGN
CP8C	Coness Pond	NRP
CP8C	Coness Pond	RiPP-like
CP8C	Coness Pond	NRPS-like
CP6A	Coness Pond	NRP+Polyketide
CP6A	Coness Pond	RiPP-like
CP6A	Coness Pond	NRP
CP6A	Coness Pond	NRP
CP6A	Coness Pond	NRP
CP6A	Coness Pond	Other:Fatty acid
