Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_3274,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_3241,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_3084,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_2707,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_2371,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1904,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1749,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1721,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1655,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1217,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1065,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_1033,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_477,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_144,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
group_136,4.1135335252982295e-5,0,0,9,0.01882062574104096,Enriched in Conness Pond
argO_1~~~argO_2,4.1135335252982295e-5,Inf,9,0,0.01882062574104096,Enriched in Sixty Lake
group_1256,4.1135335252982295e-5,Inf,9,0,0.01882062574104096,Enriched in Sixty Lake
