Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3313,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3260,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3175,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1548,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1346,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
qseB_3,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1294,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1287,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
fabG_4,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
rssA,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
putP_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
menE,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
peb1A_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3853,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
tcyC_3,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
fliY_6,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
gltC_5,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
yecS_4,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
aatB,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3852,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
yfcG_5,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
metZ_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
glnM,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_287,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3335,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3288,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3256,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
iaaM_1~~~iaaM_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3208,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3131,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3112,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3102,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3024,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2946,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2740,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1968,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1822,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1793,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
gltF_7,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1170,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
nimR_6,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_654,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
mdtL,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_459,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_233,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3752,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
mcpQ_1,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3384,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3382,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
