Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction
group_3863,1,0,11,7,1,Enriched in Strong
group_3862,1,0,11,7,1,Enriched in Strong
group_3861,1,0,11,7,1,Enriched in Strong
petE,1,0,11,7,1,Enriched in Strong
group_3860,1,0,11,7,1,Enriched in Strong
group_3859,1,0,11,7,1,Enriched in Strong
group_3858,1,0,11,7,1,Enriched in Strong
mcpA,1,0,11,7,1,Enriched in Strong
group_3857,1,0,11,7,1,Enriched in Strong
lgrD_3,1,0,11,7,1,Enriched in Strong
group_3856,1,0,11,7,1,Enriched in Strong
group_3855,1,0,11,7,1,Enriched in Strong
nicD,1,0,11,7,1,Enriched in Strong
nicA,1,0,11,7,1,Enriched in Strong
group_3854,1,0,11,7,1,Enriched in Strong
nicR,1,0,11,7,1,Enriched in Strong
nicT_4,1,0,11,7,1,Enriched in Strong
maiA,1,0,11,7,1,Enriched in Strong
nicC,1,0,11,7,1,Enriched in Strong
azoR_2,1,0,11,7,1,Enriched in Strong
nicF,1,0,11,7,1,Enriched in Strong
group_3851,1,0,11,7,1,Enriched in Strong
rihB,1,0,11,7,1,Enriched in Strong
gabR_3,1,0,11,7,1,Enriched in Strong
patB,1,0,11,7,1,Enriched in Strong
group_3850,1,0,11,7,1,Enriched in Strong
nicB,1,0,11,7,1,Enriched in Strong
nicX,1,0,11,7,1,Enriched in Strong
trkA,1,0,11,7,1,Enriched in Strong
group_3849,1,0,11,7,1,Enriched in Strong
metP_3,1,0,11,7,1,Enriched in Strong
ctaB,1,0,11,7,1,Enriched in Strong
cc4,1,0,11,7,1,Enriched in Strong
uctC,1,0,11,7,1,Enriched in Strong
group_3848,1,0,11,7,1,Enriched in Strong
group_3847,1,0,11,7,1,Enriched in Strong
group_3846,1,0,11,7,1,Enriched in Strong
group_3845,1,0,11,7,1,Enriched in Strong
trpB,1,0,11,7,1,Enriched in Strong
aroE_2,1,0,11,7,1,Enriched in Strong
group_3844,1,0,11,7,1,Enriched in Strong
group_3843,1,0,11,7,1,Enriched in Strong
gmhB,1,0,11,7,1,Enriched in Strong
group_3842,1,0,11,7,1,Enriched in Strong
group_3841,1,0,11,7,1,Enriched in Strong
group_3840,1,0,11,7,1,Enriched in Strong
yrdA_2,1,0,11,7,1,Enriched in Strong
dgoA,1,0,11,7,1,Enriched in Strong
group_3839,1,0,11,7,1,Enriched in Strong
group_3838,1,0,11,7,1,Enriched in Strong
group_3837,1,0,11,7,1,Enriched in Strong
ivy,1,0,11,7,1,Enriched in Strong
pntAA,1,0,11,7,1,Enriched in Strong
group_3836,1,0,11,7,1,Enriched in Strong
group_3835,1,0,11,7,1,Enriched in Strong
metN_3,1,0,11,7,1,Enriched in Strong
group_3834,1,0,11,7,1,Enriched in Strong
ctaG,1,0,11,7,1,Enriched in Strong
group_3833,1,0,11,7,1,Enriched in Strong
group_3832,1,0,11,7,1,Enriched in Strong
group_3831,1,0,11,7,1,Enriched in Strong
pntB,1,0,11,7,1,Enriched in Strong
tsaC,1,0,11,7,1,Enriched in Strong
tag_1,1,0,11,7,1,Enriched in Strong
zur,1,0,11,7,1,Enriched in Strong
group_3830,1,0,11,7,1,Enriched in Strong
znuA,1,0,11,7,1,Enriched in Strong
kinB,1,0,11,7,1,Enriched in Strong
amiD_2,1,0,11,7,1,Enriched in Strong
group_3829,1,0,11,7,1,Enriched in Strong
dgoD_2,1,0,11,7,1,Enriched in Strong
group_3828,1,0,11,7,1,Enriched in Strong
group_3827,1,0,11,7,1,Enriched in Strong
dsbA,1,0,11,7,1,Enriched in Strong
group_3826,1,0,11,7,1,Enriched in Strong
polA,1,0,11,7,1,Enriched in Strong
hemF,1,0,11,7,1,Enriched in Strong
group_3825,1,0,11,7,1,Enriched in Strong
group_3824,1,0,11,7,1,Enriched in Strong
metQ_3,1,0,11,7,1,Enriched in Strong
osmC,1,0,11,7,1,Enriched in Strong
group_3823,1,0,11,7,1,Enriched in Strong
dgoT,1,0,11,7,1,Enriched in Strong
group_3822,1,0,11,7,1,Enriched in Strong
group_3821,1,0,11,7,1,Enriched in Strong
citN_3,1,0,11,7,1,Enriched in Strong
engB,1,0,11,7,1,Enriched in Strong
znuC_2,1,0,11,7,1,Enriched in Strong
rsmB,1,0,11,7,1,Enriched in Strong
group_3820,1,0,11,7,1,Enriched in Strong
group_3819,1,0,11,7,1,Enriched in Strong
znuB_2,1,0,11,7,1,Enriched in Strong
