Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_3300,4.113533525298233e-4,0,1,9,0.355500708441885,Enriched in Conness Pond
group_3267,4.113533525298233e-4,0,1,9,0.355500708441885,Enriched in Conness Pond
group_3266,4.113533525298233e-4,0,1,9,0.355500708441885,Enriched in Conness Pond
group_2203,4.113533525298233e-4,0,1,9,0.355500708441885,Enriched in Conness Pond
group_677,4.113533525298233e-4,0,1,9,0.355500708441885,Enriched in Conness Pond
group_3410,4.113533525298233e-4,Inf,8,0,0.355500708441885,Enriched in Sixty Lake
group_3227,4.113533525298233e-4,Inf,8,0,0.355500708441885,Enriched in Sixty Lake
group_3135,4.113533525298233e-4,Inf,8,0,0.355500708441885,Enriched in Sixty Lake
group_2925,4.113533525298233e-4,Inf,8,0,0.355500708441885,Enriched in Sixty Lake
group_3419,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3412,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3403,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3397,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3351,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3337,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3330,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
lexA_3~~~lexA_4~~~lexA_2,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3269,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3219,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3218,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3183,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_786,0.029411764705882387,0,4,9,0.44163070633658924,Enriched in Conness Pond
group_3335,0.029411764705882387,Inf,9,4,0.44163070633658924,Enriched in Sixty Lake
group_3288,0.029411764705882387,Inf,9,4,0.44163070633658924,Enriched in Sixty Lake
