Sp1	Sp2	ANI	Lake1	Lake2	Comparison
629A2A	CP12E	82.8656	Sixty Lake	Conness Pond	Different Pond
CP19F2	629A2A	82.8902	Conness Pond	Sixty Lake	Different Pond
629A2A	CP10A	82.9021	Sixty Lake	Conness Pond	Different Pond
629A2A	642A	82.9076	Sixty Lake	Sixty Lake	Same Pond
629A2A	CP20G1	82.9104	Sixty Lake	Conness Pond	Different Pond
629A2A	CP2A	82.915	Sixty Lake	Conness Pond	Different Pond
631B	629A2A	82.9214	Sixty Lake	Sixty Lake	Same Pond
629A2A	CP15C	82.9288	Sixty Lake	Conness Pond	Different Pond
CP5A	629A2A	82.9295	Conness Pond	Sixty Lake	Different Pond
CP13A	629A2A	82.9344	Conness Pond	Sixty Lake	Different Pond
CP3F2	629A2A	82.9398	Conness Pond	Sixty Lake	Different Pond
CP6A	629A2A	82.9436	Conness Pond	Sixty Lake	Different Pond
643E	629A2A	82.9451	Sixty Lake	Sixty Lake	Same Pond
629A2A	633A	82.9515	Sixty Lake	Sixty Lake	Same Pond
629A2A	CP19F2	82.9531	Sixty Lake	Conness Pond	Different Pond
629A2A	CP17D	82.9549	Sixty Lake	Conness Pond	Different Pond
629A2A	CP3F2	82.9649	Sixty Lake	Conness Pond	Different Pond
CP10A	629A2A	82.9673	Conness Pond	Sixty Lake	Different Pond
633A	629A2A	82.9751	Sixty Lake	Sixty Lake	Same Pond
629A2A	649D1	82.9789	Sixty Lake	Sixty Lake	Same Pond
632B	629A2A	82.9797	Sixty Lake	Sixty Lake	Same Pond
629A2A	632B	82.9804	Sixty Lake	Sixty Lake	Same Pond
629A2A	CP6A	82.9848	Sixty Lake	Conness Pond	Different Pond
642A	629A2A	82.9853	Sixty Lake	Sixty Lake	Same Pond
638A1	629A2A	82.9878	Sixty Lake	Sixty Lake	Same Pond
629A2A	638A1	82.9882	Sixty Lake	Sixty Lake	Same Pond
649D1	629A2A	82.9889	Sixty Lake	Sixty Lake	Same Pond
629A2A	643E	82.9925	Sixty Lake	Sixty Lake	Same Pond
CP8C	629A2A	83.0002	Conness Pond	Sixty Lake	Different Pond
CP12E	629A2A	83.0071	Conness Pond	Sixty Lake	Different Pond
629A2A	CP13A	83.0082	Sixty Lake	Conness Pond	Different Pond
629A2A	CP5A	83.0091	Sixty Lake	Conness Pond	Different Pond
CP17D	629A2A	83.0164	Conness Pond	Sixty Lake	Different Pond
629A2A	631B	83.0313	Sixty Lake	Sixty Lake	Same Pond
CP20G1	629A2A	83.0358	Conness Pond	Sixty Lake	Different Pond
629A2A	CP8C	83.0429	Sixty Lake	Conness Pond	Different Pond
CP15C	629A2A	83.0586	Conness Pond	Sixty Lake	Different Pond
CP2A	629A2A	83.0756	Conness Pond	Sixty Lake	Different Pond
630A	CP5A	83.4405	Sixty Lake	Conness Pond	Different Pond
630A	CP2A	83.4531	Sixty Lake	Conness Pond	Different Pond
630A	CP13A	83.4626	Sixty Lake	Conness Pond	Different Pond
