Plate_no	"Well
Row"	"Well
Col"	Well	Type	Group	0	3	5	7	Slope	Percent_growth	Percent_inhibition	Bd_strain	P_value	Pond
1	D	8	D8	Unknown	628C	0.153	0.276	0.369	0.404	0.037140187	19.57577609	80.42422391	JEL423	5.60568E-05	Sixty Lake
1	D	9	D9	Unknown	628C	0.153	0.356	0.421	0.428	0.040242991	21.21119573	78.78880427	JEL423		Sixty Lake
1	D	10	D10	Unknown	628C	0.162	0.383	0.545	0.621	0.06746729	35.5605253	64.4394747	JEL423		Sixty Lake
1	D	5	D5	Unknown	630A	0.181	0.472	0.6418	0.85	0.094654206	49.89015103	50.10984897	Jel197	3.68198E-05	Sixty Lake
1	D	6	D6	Unknown	630A	0.192	0.553	0.6	0.92	0.097392523	51.33345812	48.66654188	Jel197		Sixty Lake
1	D	7	D7	Unknown	630A	0.201	0.517	0.691	0.901	0.099084112	52.22505739	47.77494261	Jel197		Sixty Lake
1	C	8	C8	Unknown	629A2A	0.19	0.265	0.269	0.258	0.009850467	5.19196477	94.80803523	Jel197	4.88372E-07	Sixty Lake
1	C	9	C9	Unknown	629A2A	0.202	0.314	0.322	0.332	0.018261682	9.625331271	90.37466873	Jel197		Sixty Lake
1	C	10	C10	Unknown	629A2A	0.193	0.298	0.317	0.315	0.017672897	9.314995616	90.68500438	Jel197		Sixty Lake
1	C	5	C5	Unknown	630A	0.192	0.302	0.516	0.776	0.083009346	43.75240141	56.24759859	Jel197	8.43157E-06	Sixty Lake
1	C	6	C6	Unknown	630A	0.18	0.352	0.666	0.843	0.098439252	51.88516596	48.11483404	Jel197		Sixty Lake
1	C	7	C7	Unknown	630A	0.185	0.338	0.626	0.817	0.093102804	49.07244121	50.92755879	Jel197		Sixty Lake
1	B	5	B5	Unknown	631B	0.184	0.419	0.753	0.85	0.100915888	53.19054609	46.80945391	Jel197	2.74828E-05	Sixty Lake
1	B	6	B6	Unknown	631B	0.194	0.31	0.79	0.9	0.110373832	58.17562043	41.82437957	Jel197		Sixty Lake
1	B	7	B7	Unknown	631B	0.203	0.4	0.7	0.895	0.101775701	53.64373467	46.35626533	Jel197		Sixty Lake
1	E	5	E5	Unknown	632B	0.191	0.522	0.66	0.699	0.07435514	39.19095987	60.80904013	Jel197	1.03589E-05	Sixty Lake
1	E	6	E6	Unknown	632B	0.204	0.419	0.492	0.544	0.048738318	25.68889589	74.31110411	Jel197		Sixty Lake
1	E	7	E7	Unknown	632B	0.182	0.441	0.553	0.62	0.06328972	33.35861994	66.64138006	Jel197		Sixty Lake
1	G	8	G8	Unknown	633A	0.202	0.223	0.223	0.227	0.003429907	1.80782834	98.19217166	Jel197	1.39757E-06	Sixty Lake
1	G	9	G9	Unknown	633A	0.202	0.218	0.226	0.217	0.002495327	1.315232062	98.68476794	Jel197		Sixty Lake
1	G	10	G10	Unknown	633A	0.2	0.2	0.217	0.208	0.001766355	0.931006965	99.06899303	Jel197		Sixty Lake
1	G	5	G5	Unknown	638A1A	0.169	0.52	0.766	0.88	0.104439252	55.04763406	44.95236594	Jel197	5.47861E-05	Sixty Lake
1	G	6	G6	Unknown	638A1A	0.175	0.6	0.746	0.908	0.10382243	54.72252052	45.27747948	Jel197		Sixty Lake
1	G	7	G7	Unknown	638A1A	0.156	0.67	0.7	0.961	0.108813084	57.35298464	42.64701536	Jel197		Sixty Lake
1	E	8	E8	Unknown	643E	0.197	0.261	0.258	0.277	0.010775701	5.679635085	94.32036492	Jel197	1.02742E-06	Sixty Lake
1	E	9	E9	Unknown	643E	0.194	0.245	0.251	0.272	0.01071028	5.645153345	94.35484665	Jel197		Sixty Lake
1	E	10	E10	Unknown	643E	0.188	0.251	0.269	0.301	0.015747664	8.300247283	91.69975272	Jel197		Sixty Lake
2	G	2	G2	Unknown	649D1	0.176	0.61	0.79	0.86	0.099626168	52.51076323	47.48923677	Jel197	2.87047E-05	Sixty Lake
2	G	3	G3	Unknown	649D1	0.19	0.296	0.55	0.89	0.098897196	52.12653813	47.87346187	Jel197		Sixty Lake
2	G	4	G4	Unknown	649D1	0.181	0.299	0.539	0.84	0.093485981	49.27440568	50.72559432	Jel197		Sixty Lake
2	B	2	B2	Nutrient_Depleted	Bd_Prova	0.152	0.541	0.543	0.514	0.051345794	27.06323951	72.93676049	Jel197	1.67246E-06	N/A
2	B	3	B3	Nutrient_Depleted	Bd_Prova	0.139	0.49	0.423	0.482	0.045102804	23.77269637	76.22730363	Jel197		N/A
2	B	4	B4	Nutrient_Depleted	Bd_Prova	0.138	0.581	0.431	0.478	0.042579439	22.44268642	77.55731358	Jel197		N/A
2	B	2	B2	Nutrient_Depleted	Bd_Prova	0.166	0.521	0.498	0.565	0.054037383	28.48191679	71.51808321	Jel197	1.03117E-06	N/A
2	B	3	B3	Nutrient_Depleted	Bd_Prova	0.158	0.473	0.4	0.414	0.033579439	17.69898427	82.30101573	Jel197		N/A
2	B	4	B4	Nutrient_Depleted	Bd_Prova	0.169	0.504	0.459	0.491	0.043280374	22.81213363	77.18786637	Jel197		N/A
2	D	2	D2	Pos_Control	Bd_Tryptone	0.179	0.707	0.735	1.776	0.205205607	108.1593647	-8.159364748	Jel197	0.291299109	N/A
2	D	3	D3	Pos_Control	Bd_Tryptone	0.157	0.762	0.919	1.412	0.171121495	90.19437849	9.805621509	Jel197		N/A
2	D	4	D4	Pos_Control	Bd_Tryptone	0.161	0.743	0.666	1.4711	0.166451402	87.73287489	12.26712511	Jel197		N/A
2	D	2	D2	Pos_Control	Bd_Tryptone	0.154	0.627	0.891	1.781	0.218850467	115.3512704	-15.35127041	Jel197	0.268873501	N/A
2	D	3	D3	Pos_Control	Bd_Tryptone	0.144	0.593	0.648	1.574	0.184700935	97.35180241	2.64819759	Jel197		N/A
