time	Isolate	OD	Isolate2
0.5	628C	0.086	628C.1
1	628C	0.084	628C.1
1.5	628C	0.083	628C.1
2	628C	0.084	628C.1
2.5	628C	0.084	628C.1
3	628C	0.094	628C.1
3.5	628C	0.103	628C.1
4	628C	0.093	628C.1
4.5	628C	0.109	628C.1
5	628C	0.138	628C.1
5.5	628C	0.158	628C.1
6	628C	0.174	628C.1
6.5	628C	0.184	628C.1
7	628C	0.192	628C.1
7.5	628C	0.193	628C.1
8	628C	0.175	628C.1
8.5	628C	0.156	628C.1
9	628C	0.146	628C.1
9.5	628C	0.148	628C.1
10	628C	0.154	628C.1
10.5	628C	0.172	628C.1
11	628C	0.209	628C.1
11.5	628C	0.263	628C.1
12	628C	0.357	628C.1
12.5	628C	0.483	628C.1
13	628C	0.58	628C.1
13.5	628C	0.699	628C.1
14	628C	0.825	628C.1
14.5	628C	0.989	628C.1
15	628C	1.118	628C.1
15.5	628C	1.233	628C.1
16	628C	1.334	628C.1
16.5	628C	1.424	628C.1
17	628C	1.5	628C.1
17.5	628C	1.567	628C.1
18	628C	1.607	628C.1
18.5	628C	1.66	628C.1
19	628C	1.704	628C.1
19.5	628C	1.745	628C.1
20	628C	1.802	628C.1
20.5	628C	1.854	628C.1
21	628C	1.906	628C.1
21.5	628C	1.955	628C.1
22	628C	1.998	628C.1
22.5	628C	2.022	628C.1
23	628C	2.053	628C.1
23.5	628C	2.021	628C.1
24	628C	2.068	628C.1
24.5	628C	2.113	628C.1
25	628C	2.141	628C.1
25.5	628C	2.16	628C.1
26	628C	2.205	628C.1
26.5	628C	2.201	628C.1
27	628C	2.25	628C.1
27.5	628C	2.274	628C.1
28	628C	2.247	628C.1
28.5	628C	2.266	628C.1
29	628C	2.248	628C.1
29.5	628C	2.265	628C.1
30	628C	2.271	628C.1
30.5	628C	2.324	628C.1
31	628C	2.301	628C.1
31.5	628C	2.35	628C.1
32	628C	2.533	628C.1
32.5	628C	2.339	628C.1
33	628C	2.467	628C.1
33.5	628C	2.372	628C.1
34	628C	2.51	628C.1
34.5	628C	2.378	628C.1
35	628C	2.383	628C.1
35.5	628C	2.443	628C.1
36	628C	2.448	628C.1
0.5	629A2A	0.087	629A2A.1
1	629A2A	0.085	629A2A.1
1.5	629A2A	0.084	629A2A.1
2	629A2A	0.086	629A2A.1
2.5	629A2A	0.085	629A2A.1
3	629A2A	0.087	629A2A.1
3.5	629A2A	0.085	629A2A.1
4	629A2A	0.087	629A2A.1
4.5	629A2A	0.086	629A2A.1
5	629A2A	0.102	629A2A.1
5.5	629A2A	0.119	629A2A.1
6	629A2A	0.13	629A2A.1
6.5	629A2A	0.117	629A2A.1
7	629A2A	0.124	629A2A.1
7.5	629A2A	0.144	629A2A.1
8	629A2A	0.192	629A2A.1
8.5	629A2A	0.268	629A2A.1
9	629A2A	0.379	629A2A.1
9.5	629A2A	0.494	629A2A.1
10	629A2A	0.564	629A2A.1
10.5	629A2A	0.668	629A2A.1
11	629A2A	0.791	629A2A.1
11.5	629A2A	0.944	629A2A.1
12	629A2A	1.073	629A2A.1
12.5	629A2A	1.182	629A2A.1
13	629A2A	1.272	629A2A.1
13.5	629A2A	1.332	629A2A.1
14	629A2A	1.416	629A2A.1
14.5	629A2A	1.453	629A2A.1
15	629A2A	1.518	629A2A.1
15.5	629A2A	1.542	629A2A.1
16	629A2A	1.609	629A2A.1
16.5	629A2A	1.669	629A2A.1
17	629A2A	1.695	629A2A.1
17.5	629A2A	1.745	629A2A.1
18	629A2A	1.793	629A2A.1
18.5	629A2A	1.842	629A2A.1
19	629A2A	1.895	629A2A.1
19.5	629A2A	1.925	629A2A.1
20	629A2A	1.95	629A2A.1
20.5	629A2A	1.982	629A2A.1
21	629A2A	2.05	629A2A.1
21.5	629A2A	2.076	629A2A.1
22	629A2A	2.107	629A2A.1
22.5	629A2A	2.095	629A2A.1
23	629A2A	2.115	629A2A.1
23.5	629A2A	2.15	629A2A.1
24	629A2A	2.176	629A2A.1
24.5	629A2A	2.177	629A2A.1
25	629A2A	2.184	629A2A.1
25.5	629A2A	2.181	629A2A.1
26	629A2A	2.184	629A2A.1
26.5	629A2A	2.215	629A2A.1
27	629A2A	2.22	629A2A.1
27.5	629A2A	2.228	629A2A.1
28	629A2A	2.252	629A2A.1
28.5	629A2A	2.308	629A2A.1
29	629A2A	2.249	629A2A.1
29.5	629A2A	2.252	629A2A.1
30	629A2A	2.297	629A2A.1
30.5	629A2A	2.305	629A2A.1
31	629A2A	2.295	629A2A.1
31.5	629A2A	2.282	629A2A.1
32	629A2A	2.313	629A2A.1
32.5	629A2A	2.293	629A2A.1
33	629A2A	2.267	629A2A.1
33.5	629A2A	2.319	629A2A.1
34	629A2A	2.3	629A2A.1
34.5	629A2A	2.27	629A2A.1
35	629A2A	2.321	629A2A.1
35.5	629A2A	2.289	629A2A.1
36	629A2A	2.301	629A2A.1
0.5	631B	0.078	631B.1
1	631B	0.078	631B.1
1.5	631B	0.079	631B.1
2	631B	0.09	631B.1
2.5	631B	0.147	631B.1
3	631B	0.169	631B.1
3.5	631B	0.166	631B.1
4	631B	0.165	631B.1
4.5	631B	0.163	631B.1
5	631B	0.166	631B.1
5.5	631B	0.169	631B.1
6	631B	0.18	631B.1
6.5	631B	0.194	631B.1
7	631B	0.214	631B.1
7.5	631B	0.257	631B.1
8	631B	0.322	631B.1
8.5	631B	0.411	631B.1
9	631B	0.524	631B.1
9.5	631B	0.632	631B.1
10	631B	0.719	631B.1
10.5	631B	0.846	631B.1
11	631B	0.977	631B.1
11.5	631B	1.117	631B.1
12	631B	1.212	631B.1
12.5	631B	1.306	631B.1
13	631B	1.379	631B.1
13.5	631B	1.434	631B.1
14	631B	1.484	631B.1
14.5	631B	1.52	631B.1
15	631B	1.575	631B.1
15.5	631B	1.623	631B.1
16	631B	1.666	631B.1
16.5	631B	1.694	631B.1
17	631B	1.723	631B.1
17.5	631B	1.784	631B.1
18	631B	1.81	631B.1
18.5	631B	1.868	631B.1
19	631B	1.912	631B.1
19.5	631B	1.94	631B.1
20	631B	1.976	631B.1
20.5	631B	2.022	631B.1
21	631B	2.061	631B.1
21.5	631B	2.06	631B.1
22	631B	2.072	631B.1
22.5	631B	2.043	631B.1
23	631B	2.055	631B.1
23.5	631B	2.08	631B.1
24	631B	2.118	631B.1
24.5	631B	2.117	631B.1
25	631B	2.146	631B.1
25.5	631B	2.144	631B.1
26	631B	2.184	631B.1
26.5	631B	2.242	631B.1
27	631B	2.189	631B.1
27.5	631B	2.207	631B.1
28	631B	2.217	631B.1
28.5	631B	2.229	631B.1
29	631B	2.209	631B.1
29.5	631B	2.25	631B.1
30	631B	2.259	631B.1
30.5	631B	2.245	631B.1
31	631B	2.242	631B.1
31.5	631B	2.228	631B.1
32	631B	2.273	631B.1
32.5	631B	2.252	631B.1
33	631B	2.275	631B.1
33.5	631B	2.308	631B.1
34	631B	2.372	631B.1
34.5	631B	2.273	631B.1
35	631B	2.28	631B.1
35.5	631B	2.234	631B.1
36	631B	2.25	631B.1
0.5	632B	0.09	632B.1
1	632B	0.086	632B.1
1.5	632B	0.086	632B.1
2	632B	0.087	632B.1
2.5	632B	0.088	632B.1
3	632B	0.113	632B.1
3.5	632B	0.134	632B.1
4	632B	0.161	632B.1
4.5	632B	0.185	632B.1
5	632B	0.231	632B.1
5.5	632B	0.273	632B.1
6	632B	0.332	632B.1
6.5	632B	0.409	632B.1
7	632B	0.502	632B.1
7.5	632B	0.602	632B.1
8	632B	0.794	632B.1
8.5	632B	0.957	632B.1
9	632B	1.071	632B.1
9.5	632B	1.188	632B.1
10	632B	1.313	632B.1
10.5	632B	1.442	632B.1
11	632B	1.543	632B.1
11.5	632B	1.649	632B.1
12	632B	1.746	632B.1
12.5	632B	1.853	632B.1
13	632B	1.96	632B.1
13.5	632B	2.025	632B.1
14	632B	2.087	632B.1
14.5	632B	2.117	632B.1
15	632B	2.2	632B.1
15.5	632B	2.228	632B.1
16	632B	2.24	632B.1
16.5	632B	2.272	632B.1
17	632B	2.319	632B.1
17.5	632B	2.324	632B.1
18	632B	2.356	632B.1
18.5	632B	2.389	632B.1
19	632B	2.402	632B.1
19.5	632B	2.403	632B.1
20	632B	2.404	632B.1
20.5	632B	2.393	632B.1
21	632B	2.402	632B.1
21.5	632B	2.352	632B.1
22	632B	2.464	632B.1
22.5	632B	2.413	632B.1
23	632B	2.416	632B.1
23.5	632B	2.439	632B.1
24	632B	2.436	632B.1
24.5	632B	2.462	632B.1
25	632B	2.438	632B.1
25.5	632B	2.396	632B.1
26	632B	2.411	632B.1
26.5	632B	2.47	632B.1
27	632B	2.424	632B.1
27.5	632B	2.48	632B.1
28	632B	2.448	632B.1
28.5	632B	2.475	632B.1
29	632B	2.45	632B.1
29.5	632B	2.462	632B.1
30	632B	2.476	632B.1
30.5	632B	2.45	632B.1
31	632B	2.468	632B.1
31.5	632B	2.464	632B.1
32	632B	2.477	632B.1
32.5	632B	2.474	632B.1
33	632B	2.461	632B.1
33.5	632B	2.459	632B.1
34	632B	2.505	632B.1
34.5	632B	2.443	632B.1
35	632B	2.493	632B.1
35.5	632B	2.41	632B.1
36	632B	2.476	632B.1
0.5	633A	0.081	633A.1
1	633A	0.079	633A.1
1.5	633A	0.08	633A.1
2	633A	0.086	633A.1
2.5	633A	0.089	633A.1
3	633A	0.102	633A.1
3.5	633A	0.111	633A.1
4	633A	0.107	633A.1
4.5	633A	0.111	633A.1
5	633A	0.139	633A.1
5.5	633A	0.146	633A.1
6	633A	0.159	633A.1
6.5	633A	0.196	633A.1
7	633A	0.298	633A.1
7.5	633A	0.376	633A.1
8	633A	0.448	633A.1
8.5	633A	0.525	633A.1
9	633A	0.638	633A.1
9.5	633A	0.747	633A.1
10	633A	0.893	633A.1
10.5	633A	0.999	633A.1
11	633A	1.109	633A.1
11.5	633A	1.196	633A.1
12	633A	1.264	633A.1
12.5	633A	1.327	633A.1
13	633A	1.397	633A.1
13.5	633A	1.472	633A.1
14	633A	1.549	633A.1
14.5	633A	1.591	633A.1
15	633A	1.659	633A.1
15.5	633A	1.706	633A.1
16	633A	1.758	633A.1
16.5	633A	1.819	633A.1
17	633A	1.812	633A.1
17.5	633A	1.867	633A.1
18	633A	1.886	633A.1
18.5	633A	1.924	633A.1
19	633A	1.926	633A.1
19.5	633A	1.946	633A.1
20	633A	1.976	633A.1
20.5	633A	1.98	633A.1
21	633A	2.012	633A.1
21.5	633A	2.033	633A.1
22	633A	2.014	633A.1
22.5	633A	2.007	633A.1
23	633A	2.029	633A.1
23.5	633A	2.029	633A.1
24	633A	2.05	633A.1
24.5	633A	2.046	633A.1
25	633A	2.071	633A.1
25.5	633A	2.065	633A.1
26	633A	2.076	633A.1
26.5	633A	2.08	633A.1
27	633A	2.078	633A.1
27.5	633A	2.096	633A.1
28	633A	2.08	633A.1
28.5	633A	2.088	633A.1
29	633A	2.059	633A.1
29.5	633A	2.065	633A.1
30	633A	2.107	633A.1
30.5	633A	2.098	633A.1
31	633A	2.081	633A.1
31.5	633A	2.097	633A.1
32	633A	2.092	633A.1
32.5	633A	2.073	633A.1
33	633A	2.094	633A.1
33.5	633A	2.101	633A.1
34	633A	2.096	633A.1
34.5	633A	2.086	633A.1
35	633A	2.094	633A.1
35.5	633A	2.06	633A.1
