sample	k	n0	r	t_gen	Inhib_197	Inhib_423
628C	6.516090833	0.019440279	1.094961527	5.701119651	94.71192104	74.55083429
629A2A	6.47575632	0.052335729	1.117541527	5.586057369	91.95590278	91.3846695
630A	6.153912606	0.205264132	0.775586308	3.575682702	50.30688748	70.93754809
631B	6.388706442	0.121590255	0.932969097	6.832948382	44.9966996	47.5412719
632B	7.41057178	0.110094556	1.217817303	5.182407736	67.25384143	65.57912554
633A	10.27785047	0.159450726	1.256940336	5.081808452	98.64864421	96.9365369
638A1	14.56333546	0.399178379	1.366218654	4.618601161	44.29228693	63.97529182
643E	13.53275633	0.030139573	1.406846795	4.441488427	93.45832143	51.44182366
649D1	13.48382833	0.094431573	1.365667815	4.671135633	48.69609765	27.58655558
CP10A	5.679563744	0.055548607	0.36019365	1.924373685	94.60771274	20.48361215
CP12E	6.716983665	0.140325987	0.728897911	3.805522613	50.0129717	29.82348157
CP13A	6.910481997	0.014889764	1.787300633	1.671958683	89.63413233	72.62051834
CP15C	6.046446211	0.056483333	0.844962851	3.28205439	94.20542579	48.39770504
CP17D	5.460290259	0.06171517	0.803060932	3.49089848	46.26267204	29.09524961
CP19F2	50.210487	0.381004191	0.624462221	11.05347329	70.24061686	61.07889473
CP20G1	6.000993627	0.091257049	0.882688408	3.14341297	45.78977961	34.08630279
CP2A	5.581580277	0.018318613	0.785993647	3.527743992	56.67451537	40.63001473
CP3F2	6.305458543	0.108345583	0.725458975	3.831885139	72.81196943	32.24681805
CP5A	6.820557782	0.071151948	0.69994283	3.961596273	68.59698728	38.44531885
CP6A	7.476016867	0.006813447	2.045960255	3.669618356	85.14329626	25.35490536
CP8C	6.149390642	0.168992637	0.694097845	3.995368335	81.59496107	37.78883735
