Group	Pond	mean	sd	se	Inhibition_Flag
623B	Sixty Lake	94.71192104	3.31063357539289	1.9113951859413	Strongly Inhibitory
629A2A	Sixty Lake	91.95590278	2.47488821730851	1.4288773784773	Strongly Inhibitory
630A	Sixty Lake	50.30688748	3.15032323223926	1.28611407397027	Strongly Inhibitory
631B	Sixty Lake	44.9966996033333	2.7566384905672	1.59154597458746	Weakly Inhibitory
632B	Sixty Lake	67.2538414333333	6.77183613434144	3.90972141507006	Strongly Inhibitory
633A	Sixty Lake	98.64864421	0.439525450484957	0.253760137153182	Strongly Inhibitory
638A1	Sixty Lake	44.2922869266667	1.43408981571385	0.82797214114449	Weakly Inhibitory
642A	Sixty Lake	48.6960976533333	1.76806384835951	1.02079213879481	Weakly Inhibitory
643E	Sixty Lake	93.45832143	1.5230627624196	0.879340695875654	Strongly Inhibitory
CP10A	Conness Pond	94.6077127433333	2.45117181354454	1.41518470637997	Strongly Inhibitory
CP13A	Conness Pond	89.6341323266667	1.28836608288587	0.743838504768944	Strongly Inhibitory
CP15C	Conness Pond	94.2054257866667	4.1193018290002	2.37828001984658	Strongly Inhibitory
CP17D	Conness Pond	46.26267204	5.2708975672713	3.04315412933503	Weakly Inhibitory
CP19F2	Conness Pond	70.24061686	2.19417960754585	1.26681018706698	Strongly Inhibitory
CP20G1	Conness Pond	45.7897796133333	4.2670354658459	2.46357407484781	Weakly Inhibitory
CP3F2	Conness Pond	72.8119694333333	4.329061913183	2.49938506091476	Strongly Inhibitory
CP5A	Conness Pond	68.59698728	8.63481653262232	4.98531364951253	Strongly Inhibitory
CP6A	Conness Pond	85.1432962566667	2.95092307496397	1.70371623168833	Strongly Inhibitory
