Isolate	Pond	MeanInhib	SDInhib	SEInhib	InhibitoryType
623B	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
629A2A	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
630A	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
631B	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
632B	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
633A	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
638A1	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
642A	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
643E	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
CP10A	Conness Pond	94.60771274	2.451171814	1.415184706	Strongly Inhibitory
CP13A	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP15C	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP17D	Conness Pond	46.26267204	5.270897567	3.043154129	Weakly Inhibitory
CP19F2	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP20G1	Conness Pond	89.63413233	1.288366083	0.743838505	Strongly Inhibitory
CP3F2	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP5A	Conness Pond	68.59698728	8.634816533	4.98531365	Strongly Inhibitory
CP6A	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
