seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_48_length_1266_cov_119.201009	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_48_length_1266_cov_119.201009||full	1.0	ssDNA
NODE_45_length_1817_cov_53.580460	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_45_length_1817_cov_53.580460||full	0.953	ssDNA
NODE_43_length_2483_cov_44.435162	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_43_length_2483_cov_44.435162||full	0.96	dsDNAphage
NODE_33_length_28167_cov_26.119046	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_33_length_28167_cov_26.119046||full	0.987	dsDNAphage
NODE_31_length_30915_cov_24.454245	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_31_length_30915_cov_24.454245||full	0.993	dsDNAphage
NODE_24_length_69351_cov_26.497589	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_24_length_69351_cov_26.497589||full	0.913	dsDNAphage
NODE_8_length_288740_cov_24.175045	233	253	270660	288740	0.933	0.953	233	253	270660	288740	0.933	0.973	1	1	253	2	288740	0.447	0.0	19.0	0.0	47.6	4.8	28.6	4	dsDNAphage	linear	NODE_8_length_288740_cov_24.175045||0_partial	0.933	dsDNAphage
NODE_4_length_426960_cov_24.604627	341	367	404893	426960	0.947	0.947	341	367	404893	426960	0.947	0.947	1	1	367	302	426960	0.267	0.0	7.4	0.0	29.6	7.4	55.6	4	dsDNAphage	linear	NODE_4_length_426960_cov_24.604627||0_partial	0.947	dsDNAphage
NODE_1_length_695688_cov_24.469642	125	205	124144	201930	0.907	0.933	125	205	124144	201930	0.907	1.0	1	1	663	580	695526	0.367	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_1_length_695688_cov_24.469642||0_partial	0.907	dsDNAphage
NODE_17_length_135504_cov_24.930139	45	97	46414	92089	0.88	0.88	45	97	46414	92089	0.88	0.973	1	1	134	148	135278	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_17_length_135504_cov_24.930139||0_partial	0.88	dsDNAphage
NODE_11_length_214970_cov_24.420181	104	121	106851	120146	0.933	0.933	104	121	106851	120146	0.933	1.0	1	1	196	304	214968	0.093	0.0	13.3	0.0	16.7	16.7	53.3	1	dsDNAphage	linear	NODE_11_length_214970_cov_24.420181||0_partial	0.933	dsDNAphage
