qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	kegg_gene_id	pathway_id	pathway_name
C1hpah	sp|Q6Q271.1|	Q6Q271	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, reductase component; AltName: Full=4-HPA 3-monooxygenase small component; AltName: Full=Flavin:NAD(+) oxidoreductase; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C1 component [Acinetobacter baumannii]	66.456	158	6.25e-68	212	NA	NA	NA
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	NA	NA	NA
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	NA	NA	NA
COQ3_2	sp|P31049.1|	P31049	RecName: Full=Probable fatty acid methyltransferase; AltName: Full=ORF3; AltName: Full=S-adenosylmethionine-dependent methyltransferase; Short=AdoMet-MT; Short=SAM-MT [Pseudomonas putida]	77.411	394	0	624	NA	NA	NA
COQ5_2	sp|A0QUV5.1|	A0QUV5	RecName: Full=Probable S-adenosylmethionine-dependent methyltransferase MSMEG_2350/MSMEI_2290 [Mycolicibacterium smegmatis MC2 155]	33.333	141	1.99e-11	65.5	NA	NA	NA
FCS1	sp|A0A2P1BT06.1|	A0A2P1BT06	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase [unidentified prokaryotic organism]	32.603	365	1.7099999999999998e-35	146	NA	NA	NA
LhpG	sp|Q08IB7.1|	Q08IB7	RecName: Full=Alpha-ketoglutaric semialdehyde dehydrogenase 3; Short=alphaKGSA dehydrogenase 3; AltName: Full=2,5-dioxovalerate dehydrogenase 3; AltName: Full=KGSADH-III [Azospirillum brasilense]	63.209	511	0	608	NA	NA	NA
QRSL1	sp|Q60CK8.1|	Q60CK8	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	5.2600000000000004e-21	99.8	NA	NA	NA
aaaT	sp|P46854.1|	P46854	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	3.1e-36	126	NA	NA	NA
aaeA_1	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	44.318	264	5.72e-64	205	NA	NA	NA
