seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_59_length_1282_cov_37.587552	1	2	20	1282	0.913	0.913	1	2	20	1282	NA	NA	0	1	2	20	1282	0.913	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NODE_59_length_1282_cov_37.587552||full	0.913	ssDNA
NODE_58_length_1817_cov_49.209770	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_58_length_1817_cov_49.209770||full	0.953	ssDNA
NODE_56_length_2483_cov_38.197007	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_56_length_2483_cov_38.197007||full	0.96	dsDNAphage
NODE_41_length_28167_cov_22.287754	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_41_length_28167_cov_22.287754||full	0.987	dsDNAphage
NODE_38_length_30915_cov_20.852974	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_38_length_30915_cov_20.852974||full	0.993	dsDNAphage
NODE_25_length_69351_cov_22.819673	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_25_length_69351_cov_22.819673||full	0.913	dsDNAphage
NODE_5_length_346497_cov_20.988892	161	174	214826	228534	0.887	0.887	161	174	214826	228534	0.887	0.96	1	1	288	455	346496	0.167	0.0	11.5	0.0	19.2	11.5	57.7	1	dsDNAphage	linear	NODE_5_length_346497_cov_20.988892||0_partial	0.887	dsDNAphage
NODE_4_length_386586_cov_21.603489	125	205	124016	201784	0.907	0.933	125	205	124016	201784	0.907	1.0	1	1	374	580	386489	0.433	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_4_length_386586_cov_21.603489||0_partial	0.907	dsDNAphage
NODE_3_length_426845_cov_21.425770	341	367	404778	426845	0.947	0.947	341	367	404778	426845	0.947	0.947	1	1	367	200	426845	0.267	0.0	7.4	0.0	29.6	7.4	55.6	4	dsDNAphage	linear	NODE_3_length_426845_cov_21.425770||0_partial	0.947	dsDNAphage
NODE_17_length_135243_cov_21.747252	56	95	60801	92574	0.92	0.94	56	95	60801	92574	0.92	1.0	1	1	134	250	135100	0.573	0.0	25.0	0.0	36.5	19.2	19.2	11	dsDNAphage	linear	NODE_17_length_135243_cov_21.747252||0_partial	0.92	dsDNAphage
NODE_15_length_144956_cov_21.118837	111	131	126876	144956	0.933	0.953	111	131	126876	144956	0.933	0.973	1	1	131	100	144956	0.5	0.0	19.0	0.0	47.6	4.8	28.6	4	dsDNAphage	linear	NODE_15_length_144956_cov_21.118837||0_partial	0.933	dsDNAphage
