Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,2023-08-15_256samples_623B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_629A2A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_630A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_631B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_632B_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_633A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_638A1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_642A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_643E.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP10A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP13A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP15C_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP17D.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP19F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP20G1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP3F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP5A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP6A.fasta_PROKKA_04102026
group_3553,,IS3 family transposase ISThsp4,18,18,1.0,10,2,,,,783,783,783.0,DHHEPMPN_05950,CBBFEIEG_05952,JAGMMPDK_01122,JCGKDLKP_05950,IJJMJDPO_05790,OPLBPFOJ_05788,PAPKKMNH_04558,EEMOKJNN_05792,JPLAHNLF_05955,DHNKKDKB_05652,10_refound_126,11_refound_132,BLLKJOKP_05710,13_refound_153,POFILHDL_05653,15_refound_174,MFFOPBKH_05654,17_refound_199
group_3552,,hypothetical protein,18,18,1.0,10,1,,,,294,294,294.0,DHHEPMPN_05949,CBBFEIEG_05951,JAGMMPDK_01123,JCGKDLKP_05949,IJJMJDPO_05789,OPLBPFOJ_05787,PAPKKMNH_04559,EEMOKJNN_05791,JPLAHNLF_05954,DHNKKDKB_05651,EONIFOAI_06307,KPCEIPFN_06308,BLLKJOKP_05709,HALBOOGP_06313,POFILHDL_05654,GOKHHJCB_06306,MFFOPBKH_05653,HGPKINJB_06312
group_3542,,hypothetical protein,18,18,1.0,5,10,,,,459,459,459.0,DHHEPMPN_05899,CBBFEIEG_05894,JAGMMPDK_05882,JCGKDLKP_05869,IJJMJDPO_05687,OPLBPFOJ_05748,PAPKKMNH_05899,EEMOKJNN_05685,JPLAHNLF_05889,DHNKKDKB_05628,EONIFOAI_06251,KPCEIPFN_06237,BLLKJOKP_05677,HALBOOGP_06237,POFILHDL_05607,GOKHHJCB_06238,MFFOPBKH_05619,HGPKINJB_06237
petE,;petE,hypothetical protein;Plastocyanin,18,18,1.0,5,9,,,,4152,9066,5014.833333333333,DHHEPMPN_05891,CBBFEIEG_05902,JAGMMPDK_05890,JCGKDLKP_05877,IJJMJDPO_05679,OPLBPFOJ_05756,PAPKKMNH_05891,EEMOKJNN_05693,JPLAHNLF_05897,DHNKKDKB_05620,EONIFOAI_06259,KPCEIPFN_06229,BLLKJOKP_05685,HALBOOGP_06245,POFILHDL_05615,GOKHHJCB_06230,MFFOPBKH_05627,HGPKINJB_06245
group_3541,,hypothetical protein,18,18,1.0,5,8,,,,624,624,624.0,DHHEPMPN_05894,CBBFEIEG_05899,JAGMMPDK_05887,JCGKDLKP_05874,IJJMJDPO_05682,OPLBPFOJ_05753,PAPKKMNH_05894,EEMOKJNN_05690,JPLAHNLF_05894,DHNKKDKB_05623,EONIFOAI_06256,KPCEIPFN_06232,BLLKJOKP_05682,HALBOOGP_06242,POFILHDL_05612,GOKHHJCB_06233,MFFOPBKH_05624,HGPKINJB_06242
group_3540,,hypothetical protein,18,18,1.0,5,7,,,,711,711,711.0,DHHEPMPN_05895,CBBFEIEG_05898,JAGMMPDK_05886,JCGKDLKP_05873,IJJMJDPO_05683,OPLBPFOJ_05752,PAPKKMNH_05895,EEMOKJNN_05689,JPLAHNLF_05893,DHNKKDKB_05624,EONIFOAI_06255,KPCEIPFN_06233,BLLKJOKP_05681,HALBOOGP_06241,POFILHDL_05611,GOKHHJCB_06234,MFFOPBKH_05623,HGPKINJB_06241
group_3539,,hypothetical protein,18,18,1.0,5,6,,,,1947,1947,1947.0,DHHEPMPN_05893,CBBFEIEG_05900,JAGMMPDK_05888,JCGKDLKP_05875,IJJMJDPO_05681,OPLBPFOJ_05754,PAPKKMNH_05893,EEMOKJNN_05691,JPLAHNLF_05895,DHNKKDKB_05622,EONIFOAI_06257,KPCEIPFN_06231,BLLKJOKP_05683,HALBOOGP_06243,POFILHDL_05613,GOKHHJCB_06232,MFFOPBKH_05625,HGPKINJB_06243
group_3538,,hypothetical protein,18,18,1.0,5,5,,,,948,948,948.0,DHHEPMPN_05897,CBBFEIEG_05896,JAGMMPDK_05884,JCGKDLKP_05871,IJJMJDPO_05685,OPLBPFOJ_05750,PAPKKMNH_05897,EEMOKJNN_05687,JPLAHNLF_05891,DHNKKDKB_05626,EONIFOAI_06253,KPCEIPFN_06235,BLLKJOKP_05679,HALBOOGP_06239,POFILHDL_05609,GOKHHJCB_06236,MFFOPBKH_05621,HGPKINJB_06239
group_3537,,hypothetical protein,18,18,1.0,5,4,,,,759,759,759.0,DHHEPMPN_05896,CBBFEIEG_05897,JAGMMPDK_05885,JCGKDLKP_05872,IJJMJDPO_05684,OPLBPFOJ_05751,PAPKKMNH_05896,EEMOKJNN_05688,JPLAHNLF_05892,DHNKKDKB_05625,EONIFOAI_06254,KPCEIPFN_06234,BLLKJOKP_05680,HALBOOGP_06240,POFILHDL_05610,GOKHHJCB_06235,MFFOPBKH_05622,HGPKINJB_06240
lgrD_2,lgrD_2,Linear gramicidin synthase subunit D,18,18,1.0,5,3,,,,3378,3378,3378.0,DHHEPMPN_05898,CBBFEIEG_05895,JAGMMPDK_05883,JCGKDLKP_05870,IJJMJDPO_05686,OPLBPFOJ_05749,PAPKKMNH_05898,EEMOKJNN_05686,JPLAHNLF_05890,DHNKKDKB_05627,EONIFOAI_06252,KPCEIPFN_06236,BLLKJOKP_05678,HALBOOGP_06238,POFILHDL_05608,GOKHHJCB_06237,MFFOPBKH_05620,HGPKINJB_06238
