qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	go_id	go_name	go_aspect
C1hpah	sp|Q6Q271.1|	Q6Q271	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, reductase component; AltName: Full=4-HPA 3-monooxygenase small component; AltName: Full=Flavin:NAD(+) oxidoreductase; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C1 component [Acinetobacter baumannii]	66.456	158	6.25e-68	212	GO:0036382	F:flavin reductase (NADH) activity	IEA:UniProtKB-EC
C1hpah	sp|Q6Q271.1|	Q6Q271	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, reductase component; AltName: Full=4-HPA 3-monooxygenase small component; AltName: Full=Flavin:NAD(+) oxidoreductase; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C1 component [Acinetobacter baumannii]	66.456	158	6.25e-68	212	GO:0010181	F:FMN binding	IEA:InterPro
C1hpah	sp|Q6Q271.1|	Q6Q271	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, reductase component; AltName: Full=4-HPA 3-monooxygenase small component; AltName: Full=Flavin:NAD(+) oxidoreductase; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C1 component [Acinetobacter baumannii]	66.456	158	6.25e-68	212	GO:0042602	F:riboflavin reductase (NADPH) activity	IEA:TreeGrafter
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	GO:0005737	C:cytoplasm	IEA:TreeGrafter
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	GO:0052881	F:4-hydroxyphenylacetate 3-monooxygenase activity	IEA:UniProtKB-EC
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	GO:0003995	F:acyl-CoA dehydrogenase activity	IEA:TreeGrafter
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	GO:0050660	F:flavin adenine dinucleotide binding	IEA:InterPro
C2hpah	sp|Q6Q272.1|	Q6Q272	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	0	587	GO:0033539	P:fatty acid beta-oxidation using acyl-CoA dehydrogenase	IEA:TreeGrafter
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0005737	C:cytoplasm	IDA:UniProtKB
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0005829	C:cytosol	IDA:HPA
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0005654	C:nucleoplasm	IDA:HPA
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0005634	C:nucleus	IDA:UniProtKB
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0008168	F:methyltransferase activity	IDA:UniProtKB
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0016279	F:protein-lysine N-methyltransferase activity	IDA:UniProtKB
COQ3_1	sp|Q5JPI9.3|	Q5JPI9	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	5.25e-8	56.6	GO:0018022	P:peptidyl-lysine methylation	IDA:UniProtKB
