seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_57_length_1266_cov_134.652649	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_57_length_1266_cov_134.652649||full	1.0	ssDNA
NODE_56_length_1282_cov_49.113693	1	2	20	1282	0.913	0.913	1	2	20	1282	NA	NA	0	1	2	20	1282	0.913	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NODE_56_length_1282_cov_49.113693||full	0.913	ssDNA
NODE_55_length_1817_cov_68.530460	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_55_length_1817_cov_68.530460||full	0.953	ssDNA
NODE_53_length_2483_cov_46.130507	1	4	1	2481	0.96	0.96	1	4	1	2481	NA	NA	0	1	4	1	2481	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_53_length_2483_cov_46.130507||full	0.96	dsDNAphage
NODE_41_length_28167_cov_28.033927	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_41_length_28167_cov_28.033927||full	0.987	dsDNAphage
NODE_37_length_30915_cov_27.972664	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_37_length_30915_cov_27.972664||full	0.993	dsDNAphage
NODE_28_length_69351_cov_28.979978	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_28_length_69351_cov_28.979978||full	0.913	dsDNAphage
NODE_8_length_269428_cov_27.319576	12	81	7473	72734	0.933	0.98	10	81	5344	72734	0.9	1.0	1	1	260	3	269292	0.447	0.0	26.2	0.0	38.1	10.7	25.0	6	dsDNAphage	linear	NODE_8_length_269428_cov_27.319576||0_partial	0.933	dsDNAphage
NODE_7_length_288871_cov_26.471952	1	32	1	30395	0.9	0.947	1	32	1	30395	0.9	1.0	1	1	252	1	288870	0.453	0.0	40.9	0.0	31.8	13.6	13.6	4	dsDNAphage	linear	NODE_7_length_288871_cov_26.471952||0_partial	0.9	dsDNAphage
NODE_3_length_374585_cov_26.417374	187	199	249987	262545	0.907	0.907	187	199	249987	262545	0.907	0.967	1	1	311	293	374585	0.133	0.0	12.0	0.0	20.0	12.0	56.0	1	dsDNAphage	linear	NODE_3_length_374585_cov_26.417374||0_partial	0.907	dsDNAphage
NODE_2_length_426816_cov_27.271306	1	28	1	22602	0.907	0.947	1	28	1	22602	0.907	0.993	1	1	367	1	426516	0.273	0.0	17.5	2.5	20.0	15.0	45.0	4	dsDNAphage	linear	NODE_2_length_426816_cov_27.271306||0_partial	0.907	dsDNAphage
NODE_17_length_135566_cov_27.189558	45	97	46410	92085	0.88	0.88	45	97	46410	92085	0.88	0.973	1	1	134	144	135341	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_17_length_135566_cov_27.189558||0_partial	0.88	dsDNAphage
