seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_63_length_1212_cov_78.066960	1	2	42	1204	1.0	1.0	1	2	42	1204	NA	NA	0	1	2	42	1204	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_63_length_1212_cov_78.066960||full	1.0	ssDNA
NODE_59_length_2108_cov_45.078779	1	3	57	2106	0.987	0.987	1	3	57	2106	NA	NA	0	1	3	57	2106	0.987	0.0	0.0	0.0	100.0	0.0	0.0	1	dsDNAphage	linear	NODE_59_length_2108_cov_45.078779||full	0.987	dsDNAphage
NODE_57_length_3564_cov_58.701749	1	7	3	3563	0.92	0.92	1	7	3	3563	NA	NA	0	1	7	3	3563	0.92	0.0	14.3	0.0	28.6	14.3	42.9	1	dsDNAphage	linear	NODE_57_length_3564_cov_58.701749||full	0.92	dsDNAphage
NODE_55_length_4231_cov_35.158402	1	5	30	4231	0.96	0.96	1	5	30	4231	NA	NA	0	1	5	30	4231	0.96	0.0	20.0	0.0	60.0	0.0	20.0	2	dsDNAphage	linear	NODE_55_length_4231_cov_35.158402||full	0.96	dsDNAphage
NODE_36_length_37599_cov_200.844225	1	51	519	37321	0.993	1.0	1	51	519	37321	NA	NA	0	1	51	519	37321	0.993	0.0	2.0	0.0	74.5	2.0	21.6	16	dsDNAphage	linear	NODE_36_length_37599_cov_200.844225||full	0.993	dsDNAphage
NODE_29_length_58558_cov_21.891897	1	62	632	58407	0.867	0.9	1	62	632	58407	NA	NA	0	1	62	632	58407	0.867	0.0	27.4	0.0	35.5	17.7	19.4	7	dsDNAphage	linear	NODE_29_length_58558_cov_21.891897||full	0.867	dsDNAphage
NODE_8_length_306315_cov_23.823575	38	74	41973	71358	0.94	0.96	38	75	41973	72452	0.9	1.0	1	1	293	2	305823	0.187	0.0	28.0	0.0	22.0	2.0	48.0	1	dsDNAphage	linear	NODE_8_length_306315_cov_23.823575||0_partial	0.94	dsDNAphage
NODE_6_length_327972_cov_23.337227	40	80	40057	76466	0.893	0.927	40	81	40057	77517	0.88	0.973	1	1	303	149	327605	0.333	0.0	27.8	0.0	31.5	31.5	9.3	10	dsDNAphage	linear	NODE_6_length_327972_cov_23.337227||0_partial	0.893	dsDNAphage
NODE_4_length_493506_cov_22.442655	63	148	59330	134589	0.907	0.953	63	151	59330	137240	0.9	1.0	1	1	479	366	493419	0.513	0.0	32.7	0.0	28.7	9.9	28.7	11	dsDNAphage	linear	NODE_4_length_493506_cov_22.442655||0_partial	0.907	dsDNAphage
NODE_33_length_45862_cov_24.677995	34	50	34645	45860	0.973	0.973	34	50	34645	45860	0.973	1.0	1	1	50	169	45860	0.52	0.0	17.6	0.0	29.4	5.9	47.1	4	dsDNAphage	linear	NODE_33_length_45862_cov_24.677995||0_partial	0.973	dsDNAphage
NODE_2_length_561142_cov_23.083689	202	344	193108	314729	0.867	0.893	202	344	193108	314729	0.867	0.96	1	1	553	137	560961	0.547	0.0	27.1	0.0	33.5	12.9	26.5	11	dsDNAphage	linear	NODE_2_length_561142_cov_23.083689||0_partial	0.867	dsDNAphage
NODE_2_length_561142_cov_23.083689	97	199	104069	190352	0.927	0.973	97	200	104069	191054	0.907	1.0	1	1	553	137	560961	0.547	0.0	17.2	0.9	37.9	11.2	32.8	18	dsDNAphage	linear	NODE_2_length_561142_cov_23.083689||1_partial	0.927	dsDNAphage
NODE_16_length_123017_cov_23.840508	107	122	111646	123015	0.987	0.987	107	122	111646	123015	0.987	0.987	1	1	122	116	123015	0.32	0.0	6.2	0.0	37.5	0.0	56.2	2	dsDNAphage	linear	NODE_16_length_123017_cov_23.840508||0_partial	0.987	dsDNAphage
NODE_15_length_136125_cov_41.361372	38	51	28152	38850	0.927	0.927	38	51	28152	38850	0.927	0.927	1	1	148	1	136020	0.493	0.0	53.8	0.0	11.5	0.0	34.6	1	dsDNAphage	linear	NODE_15_length_136125_cov_41.361372||0_partial	0.927	dsDNAphage
