seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_67_length_924_cov_22.684770	1	2	3	916	0.98	0.98	1	2	3	916	NA	NA	0	1	2	3	916	0.98	0.0	0.0	0.0	100.0	0.0	0.0	1	dsDNAphage	linear	NODE_67_length_924_cov_22.684770||full	0.98	dsDNAphage
NODE_63_length_1212_cov_45.846696	1	2	42	1204	1.0	1.0	1	2	42	1204	NA	NA	0	1	2	42	1204	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_63_length_1212_cov_45.846696||full	1.0	ssDNA
NODE_58_length_2108_cov_28.701132	1	3	3	2052	0.987	0.987	1	3	3	2052	NA	NA	0	1	3	3	2052	0.987	0.0	0.0	0.0	100.0	0.0	0.0	1	dsDNAphage	linear	NODE_58_length_2108_cov_28.701132||full	0.987	dsDNAphage
NODE_56_length_3564_cov_35.661600	1	7	3	3563	0.92	0.92	1	7	3	3563	NA	NA	0	1	7	3	3563	0.92	0.0	14.3	0.0	28.6	14.3	42.9	1	dsDNAphage	linear	NODE_56_length_3564_cov_35.661600||full	0.92	dsDNAphage
NODE_39_length_37762_cov_129.630543	1	51	443	37245	0.993	1.0	1	51	443	37245	NA	NA	0	1	51	443	37245	0.993	0.0	2.0	0.0	74.5	2.0	21.6	16	dsDNAphage	linear	NODE_39_length_37762_cov_129.630543||full	0.993	dsDNAphage
NODE_8_length_257432_cov_14.744310	203	255	203152	250564	0.9	0.933	203	255	203152	250564	0.9	1.0	1	1	260	172	256801	0.453	0.0	27.6	0.0	36.2	15.5	20.7	7	dsDNAphage	linear	NODE_8_length_257432_cov_14.744310||0_partial	0.9	dsDNAphage
NODE_6_length_306350_cov_15.639740	230	266	242993	272189	0.907	0.947	230	266	242993	272189	0.907	1.0	1	1	294	493	306349	0.187	0.0	38.8	0.0	22.4	6.1	32.7	1	dsDNAphage	linear	NODE_6_length_306350_cov_15.639740||0_partial	0.907	dsDNAphage
NODE_5_length_367684_cov_15.126565	41	126	32478	107737	0.907	0.953	41	129	32478	110388	0.9	1.0	1	1	348	95	367683	0.493	0.0	32.7	0.0	28.7	9.9	28.7	11	dsDNAphage	linear	NODE_5_length_367684_cov_15.126565||0_partial	0.907	dsDNAphage
NODE_2_length_561873_cov_15.748749	202	344	193609	315230	0.867	0.893	202	344	193609	315230	0.867	0.96	1	1	553	137	561692	0.547	0.0	27.1	0.0	33.5	12.9	26.5	11	dsDNAphage	linear	NODE_2_length_561873_cov_15.748749||0_partial	0.867	dsDNAphage
NODE_2_length_561873_cov_15.748749	97	199	104570	190853	0.927	0.973	97	200	104570	191555	0.907	1.0	1	1	553	137	561692	0.547	0.0	17.2	0.9	37.9	11.2	32.8	18	dsDNAphage	linear	NODE_2_length_561873_cov_15.748749||1_partial	0.927	dsDNAphage
NODE_26_length_74898_cov_15.606434	1	16	3	12479	0.973	0.973	1	16	3	12479	0.973	0.98	1	1	79	3	74592	0.333	0.0	21.4	0.0	10.7	28.6	39.3	2	dsDNAphage	linear	NODE_26_length_74898_cov_15.606434||0_partial	0.973	dsDNAphage
NODE_18_length_126077_cov_15.743810	108	126	111432	125981	0.973	0.973	108	126	111432	125981	0.973	0.993	1	1	126	116	125981	0.327	0.0	10.5	0.0	42.1	0.0	47.4	3	dsDNAphage	linear	NODE_18_length_126077_cov_15.743810||0_partial	0.973	dsDNAphage
NODE_16_length_136195_cov_26.509653	38	51	28152	38850	0.927	0.927	38	51	28152	38850	0.927	0.927	1	1	148	1	136090	0.487	0.0	53.8	0.0	11.5	0.0	34.6	1	dsDNAphage	linear	NODE_16_length_136195_cov_26.509653||0_partial	0.927	dsDNAphage
NODE_15_length_142756_cov_15.238998	40	80	40205	76614	0.893	0.927	40	81	40205	77665	0.88	0.973	1	1	140	149	142656	0.467	0.0	27.8	0.0	31.5	31.5	9.3	10	dsDNAphage	linear	NODE_15_length_142756_cov_15.238998||0_partial	0.893	dsDNAphage
