qseqid	sseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	uniprot_acc	uniprot_full
C1hpah	sp|Q6Q271.1|	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, reductase component; AltName: Full=4-HPA 3-monooxygenase small component; AltName: Full=Flavin:NAD(+) oxidoreductase; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C1 component [Acinetobacter baumannii]	66.456	158	53	0	7	480	10	167	6.25e-68	212	Q6Q271	Q6Q271.1
C2hpah	sp|Q6Q272.1|	RecName: Full=p-hydroxyphenylacetate 3-hydroxylase, oxygenase component; AltName: Full=4-HPA 3-hydroxylase; AltName: Full=4-HPA 3-monooxygenase large component; AltName: Full=p-hydroxyphenylacetate 3-hydroxylase C2 component [Acinetobacter baumannii]	71.279	383	110	0	19	1167	40	422	0	587	Q6Q272	Q6Q272.1
COQ3_1	sp|Q5JPI9.3|	RecName: Full=EEF1A lysine methyltransferase 2; AltName: Full=Methyltransferase-like protein 10; AltName: Full=Protein-lysine N-methyltransferase METTL10 [Homo sapiens]	31.452	124	67	6	496	831	80	197	5.25e-8	56.6	Q5JPI9	Q5JPI9.3
COQ3_2	sp|P31049.1|	RecName: Full=Probable fatty acid methyltransferase; AltName: Full=ORF3; AltName: Full=S-adenosylmethionine-dependent methyltransferase; Short=AdoMet-MT; Short=SAM-MT [Pseudomonas putida]	77.411	394	89	0	1	1182	1	394	0	624	P31049	P31049.1
COQ5_2	sp|A0QUV5.1|	RecName: Full=Probable S-adenosylmethionine-dependent methyltransferase MSMEG_2350/MSMEI_2290 [Mycolicibacterium smegmatis MC2 155]	33.333	141	85	4	154	573	49	181	1.99e-11	65.5	A0QUV5	A0QUV5.1
FCS1	sp|A0A2P1BT06.1|	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase [unidentified prokaryotic organism]	32.603	365	218	7	22	1056	10	366	1.7099999999999998e-35	146	A0A2P1BT06	A0A2P1BT06.1
LhpG	sp|Q08IB7.1|	RecName: Full=Alpha-ketoglutaric semialdehyde dehydrogenase 3; Short=alphaKGSA dehydrogenase 3; AltName: Full=2,5-dioxovalerate dehydrogenase 3; AltName: Full=KGSADH-III [Azospirillum brasilense]	63.209	511	187	1	1	1530	1	511	0	608	Q08IB7	Q08IB7.1
QRSL1	sp|Q60CK8.1|	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	128	5	19	678	5	216	5.2600000000000004e-21	99.8	Q60CK8	Q60CK8.1
aaaT	sp|P46854.1|	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	96	1	22	501	4	162	3.1e-36	126	P46854	P46854.1
aaeA_1	sp|P76185.2|	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	44.318	264	142	3	61	843	22	283	5.72e-64	205	P76185	P76185.2
aaeA_2	sp|P76185.2|	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	43.254	252	142	1	103	855	32	283	1.4799999999999999e-68	218	P76185	P76185.2
aaeB_1	sp|A4THF0.1|	RecName: Full=p-hydroxybenzoic acid efflux pump subunit AaeB; Short=pHBA efflux pump protein B [Yersinia pestis Pestoides F]	38.012	171	97	1	52	537	4	174	7.48e-15	81.6	A4THF0	A4THF0.1
aaeB_2	sp|P24128.1|	RecName: Full=Fusaric acid resistance protein FusC [Burkholderia cepacia]	44.509	346	189	3	463	1500	1	343	5.43e-74	246	P24128	P24128.1
aam_1	sp|K9NBS6.1|	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	275	8	19	1368	9	464	1.16e-71	237	K9NBS6	K9NBS6.1
aam_2	sp|K9NBS6.1|	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	229	8	31	1218	10	445	2.6899999999999997e-41	155	K9NBS6	K9NBS6.1
aat	sp|C3JY59.1|	RecName: Full=Leucyl/phenylalanyl-tRNA--protein transferase; AltName: Full=L/F-transferase; AltName: Full=Leucyltransferase; AltName: Full=Phenyalanyltransferase [Pseudomonas [fluorescens] SBW25]	93.363	226	15	0	1	678	1	226	1.0699999999999998e-159	443	C3JY59	C3JY59.1
aatB	sp|P58350.1|	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	200	1	16	1197	15	409	2.51e-112	337	P58350	P58350.1
abaF	sp|P16482.1|	RecName: Full=Citrate-proton symporter; AltName: Full=Citrate carrier protein; AltName: Full=Citrate transporter [Klebsiella pneumoniae]	31.436	404	268	4	85	1281	36	435	6.35e-54	189	P16482	P16482.1
abaQ	sp|P0DPR4.1|	RecName: Full=Quinolone resistance transporter [Acinetobacter baumannii]	73.827	405	105	1	73	1284	25	429	0	533	P0DPR4	P0DPR4.1
accA1_1	sp|Q96RQ3.3|	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	341	11	10	1920	49	715	1.0799999999999998e-180	533	Q96RQ3	Q96RQ3.3
accA1_2	sp|Q54KE6.1|	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	322	5	10	1911	30	698	0	550	Q54KE6	Q54KE6.1
accA_1	sp|Q8T2J9.2|	RecName: Full=Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial; Short=MCCase subunit beta; AltName: Full=3-methylcrotonyl-CoA carboxylase 2; AltName: Full=3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta; Flags: Precursor [Dictyostelium discoideum]	43.068	541	298	6	7	1614	53	588	6.759999999999998e-145	432	Q8T2J9	Q8T2J9.2
accA_2	sp|C3K6H2.1|	RecName: Full=Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha; Short=ACCase subunit alpha; Short=Acetyl-CoA carboxylase carboxyltransferase subunit alpha [Pseudomonas [fluorescens] SBW25]	98.73	315	4	0	1	945	1	315	0	600	C3K6H2	C3K6H2.1
accB	sp|P37799.1|	RecName: Full=Biotin carboxyl carrier protein of acetyl-CoA carboxylase; Short=BCCP [Pseudomonas aeruginosa PAO1]	73.718	156	37	1	1	456	1	156	4.29e-62	191	P37799	P37799.1
accC	sp|P37798.1|	RecName: Full=Biotin carboxylase; AltName: Full=Acetyl-coenzyme A carboxylase biotin carboxylase subunit A [Pseudomonas aeruginosa PAO1]	83.07	443	75	0	22	1350	2	444	0	753	P37798	P37798.1
accD	sp|Q4KEZ8.1|	RecName: Full=Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta; Short=ACCase subunit beta; Short=Acetyl-CoA carboxylase carboxyltransferase subunit beta [Pseudomonas protegens Pf-5]	94.118	306	18	0	1	918	1	306	0	569	Q4KEZ8	Q4KEZ8.1
acdA_1	sp|P34275.2|	RecName: Full=Probable acyl-CoA dehydrogenase 6; AltName: Full=Probable isovaleryl-CoA dehydrogenase; Short=IVD [Caenorhabditis elegans]	51.064	376	183	1	1	1125	23	398	2.4199999999999997e-136	398	P34275	P34275.2
acdA_2	sp|P45867.1|	RecName: Full=Acyl-CoA dehydrogenase [Bacillus subtilis subsp. subtilis str. 168]	43.896	385	203	4	1	1140	1	377	7.2299999999999996e-90	278	P45867	P45867.1
aceA	sp|P51066.2|	RecName: Full=Isocitrate lyase; Short=ICL; AltName: Full=Isocitrase; AltName: Full=Isocitratase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	72.665	439	111	4	10	1320	3	434	0	667	P51066	P51066.2
aceE_1	sp|Q59637.2|	RecName: Full=Pyruvate dehydrogenase E1 component; Short=PDH E1 component [Pseudomonas aeruginosa PAO1]	87.188	882	112	1	1	2643	1	882	0	1635	Q59637	Q59637.2
