Isolate	subject_id	query_id	perc_identity	align_len	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	Hit	FullTaxonomy	Pond	mean	sd	se	Inhibition_Flag
CP20G1	NC_005262.3	NODE_1_length_690819_cov_22.326204||0_partial	77.748	373	72	8	35663	36028	15024	14656	4.76E-53	219	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	89.63413233	1.288366083	0.743838505	Strongly Inhibitory
CP10A	NC_005262.3	NODE_1_length_691052_cov_20.889507||0_partial	77.748	373	72	8	35663	36028	15024	14656	4.76E-53	219	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	94.60771274	2.451171814	1.415184706	Strongly Inhibitory
CP5A	NC_005262.3	NODE_1_length_691080_cov_22.321259||0_partial	77.748	373	72	8	8099	8464	14656	15024	5.44E-53	219	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	68.59698728	8.634816533	4.98531365	Strongly Inhibitory
CP6A	NC_005262.3	NODE_10_length_203603_cov_21.641677||0_partial	77.957	372	73	7	33930	34295	15024	14656	9.79E-55	224	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP13A	NC_005262.3	NODE_4_length_466576_cov_20.415053||0_partial	77.957	372	73	7	35315	35680	15024	14656	9.80E-55	224	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP19F2	NC_005262.3	NODE_4_length_493506_cov_22.442655||0_partial	77.957	372	73	7	7204	7569	14656	15024	1.04E-54	224	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP15C	NC_005262.3	NODE_5_length_367684_cov_15.126565||0_partial	77.957	372	73	7	7204	7569	14656	15024	1.04E-54	224	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP3F2	NC_005262.3	NODE_5_length_367743_cov_18.239935||0_partial	77.957	372	73	7	7204	7569	14656	15024	1.04E-54	224	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP19F2	NC_009542.2	NODE_16_length_123017_cov_23.840508||0_partial	81.132	106	18	2	9154	9258	11481	11585	2.79E-13	84.2	Aeromonas phage phiO18P, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Bielevirus; Bielevirus phiO18P.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP6A	NC_009542.2	NODE_19_length_123298_cov_22.195015||0_partial	81.132	106	18	2	2113	2217	11585	11481	5.75E-13	84.2	Aeromonas phage phiO18P, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Bielevirus; Bielevirus phiO18P.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP13A	NC_009542.2	NODE_21_length_122661_cov_21.838445||0_partial	81.132	106	18	2	2113	2217	11585	11481	5.75E-13	84.2	Aeromonas phage phiO18P, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Bielevirus; Bielevirus phiO18P.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
