Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
peb1A_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3853,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
tcyC_3,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
fliY_6,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
gltC_5,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
yecS_4,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
aatB,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3852,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
yfcG_5,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
metZ_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
glnM,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_287,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3335,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3288,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3256,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
iaaM_1~~~iaaM_2,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3208,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3112,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3102,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3024,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2740,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_1968,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
gltF_7,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1170,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
nimR_6,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_654,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
mdtL,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_233,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3752,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3384,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3382,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1042,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_343,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3177,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3134,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3418,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3394,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
sir2~~~sir2_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
