Ascession	Hit	FullTaxonomy
NC_070881.1 	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus
NC_074658.1 	Pseudomonas phage Medea1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes;Caudoviricetes incertae sedis; Medeavirus;Medeavirus medea1.
NC_074659.1 	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.
NC_024365.1 	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.
NC_030940.1 	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.
NC_005262.3	Burkholderia cepacia phage Bcep22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lessievirus;Lessievirus bcep22.
NC_028696.2 	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.
NC_009542.2 	Aeromonas phage phiO18P, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Bielevirus; Bielevirus phiO18P.
NC_019504.1 	Erwinia phage vB_EamM-Y2, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Chaseviridae;Cleopatravirinae; Loessnervirus; Loessnervirus Y2.
NC_055793.1	Pseudomonas phage vB_Pae_BR319a, partial genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Citexvirus; Citexvirus BR319A.
