Isolate	Region	Type	From	To	Similarity Confidence	Most similar known cluster	
CP6A	Region 1.1	NI-siderophore	207,404	237,329			
CP6A	Region 1.2	NRPS	317,475	370,371			
CP6A	Region 1.3	NAGGN	409,536	424,416			
CP6A	Region 2.1	azole-containing-RiPP	51,944	80,295	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP6A	Region 3.1	RiPP-like	400,884	411,729			
CP6A	Region 4.1	arylpolyene	85,295	128,870	Low	APE Vf	other:other
CP6A	Region 5.1	NRPS,azole-containing-RiPP	124,072	170,341			
CP6A	Region 5.2	betalactone	278,581	306,991			
CP6A	Region 9.1	hydrogen-cyanide,NRP-metallophore,NRPS	102,311	188,451	Low	pyoverdine SXM-1	NRPS:Type I
CP6A	Region 11.1	redox-cofactor	121,441	143,588			
CP6A	Region 24.1	terpene-precursor	3,741	24,628			
CP6A	Region 29.1	RiPP-like	34,009	44,890			
CP6A	Region 30.1	NRPS	11,141	62,921	Medium	viscosin	NRPS:Type I
CP6A	Region 48.1	NRPS-like	1	17,071			
CP13A	Region 1.1	redox-cofactor	55,653	77,800			
CP13A	Region 1.2	RiPP-like	599,690	610,535			
CP13A	Region 2.1	azole-containing-RiPP	481,490	509,992	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP13A	Region 3.1	NAGGN	110,953	125,833			
CP13A	Region 3.2	NRPS	164,871	217,767			
CP13A	Region 3.3	NI-siderophore	297,791	327,716			
CP13A	Region 4.1	betalactone	159,598	188,008			
CP13A	Region 4.2	NRPS,azole-containing-RiPP	296,227	342,496			
CP13A	Region 5.1	arylpolyene	7,826	51,401	Low	APE Vf	other:other
CP13A	Region 11.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,685	120,825			
CP13A	Region 15.1	RiPP-like	33,113	43,994			
CP13A	Region 26.1	terpene-precursor	3,770	24,657			
CP13A	Region 32.1	NRPS	11,172	62,952	Medium	viscosin	NRPS:Type I
CP13A	Region 51.1	NRPS-like	1	17,071			
CP10A	Region 1.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,749	120,896			
CP10A	Region 1.2	betalactone	385,408	413,888			
CP10A	Region 1.3	NRPS	521,078	567,347			
CP10A	Region 2.1	RiPP-like	464,498	475,343			
CP10A	Region 3.1	NI-siderophore	253,653	283,578			
CP10A	Region 3.2	NRPS	363,624	416,520			
CP10A	Region 3.3	NAGGN	453,502	468,382			
CP10A	Region 5.1	arylpolyene	125,615	169,190	Low	APE Vf	other:other
CP10A	Region 7.1	terpene-precursor	245,913	266,800			
CP10A	Region 12.1	NRPS	129,150	193,394	Medium	viscosin	NRPS:Type I
CP10A	Region 14.1	redox-cofactor	55,204	77,351			
CP10A	Region 22.1	azole-containing-RiPP	16,566	45,278	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP10A	Region 24.1	RiPP-like	22,219	33,100			
CP10A	Region 40.1	NRPS-like	1	17,531			
CP19F2	Region 1.1	RiPP-like	46,651	57,496			
CP19F2	Region 1.2	redox-cofactor	579,682	601,829			
CP19F2	Region 2.1	azole-containing-RiPP	51,807	79,794	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP19F2	Region 3.1	NI-siderophore	207,639	237,564			
CP19F2	Region 3.2	NRPS	317,807	370,703			
CP19F2	Region 3.3	NAGGN	409,966	424,846			
CP19F2	Region 4.1	NRPS,azole-containing-RiPP	150,924	197,193			
CP19F2	Region 4.2	betalactone	305,370	333,780			
CP19F2	Region 5.1	arylpolyene	277,287	320,862	Low	APE Vf	other:other
CP19F2	Region 11.1	hydrogen-cyanide,NRP-metallophore,NRPS	102,264	188,404	Low	pyoverdine SXM-1	NRPS:Type I
CP19F2	Region 22.1	NRPS	34,640	86,420	Medium	viscosin	NRPS:Type I
CP19F2	Region 23.1	terpene-precursor	66,643	85,643			
CP19F2	Region 26.1	RiPP-like	34,034	44,915			
CP19F2	Region 48.1	NRPS-like	1	17,554			
CP6A	Region 1.1	RiPP-like	46,667	57,512			
CP6A	Region 1.2	redox-cofactor	580,109	602,256			
CP6A	Region 2.1	NAGGN	137,843	152,723			
CP6A	Region 2.2	NRPS	191,651	244,547			
CP6A	Region 2.3	NI-siderophore	324,571	354,496			
CP6A	Region 3.1	azole-containing-RiPP	51,807	80,130	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP6A	Region 5.1	betalactone	75,135	103,545			
CP6A	Region 6.1	arylpolyene	85,293	128,868	Low	APE Vf	other:other
CP6A	Region 9.1	hydrogen-cyanide,NRP-metallophore,NRPS	102,420	188,560	Low	pyoverdine SXM-1	NRPS:Type I
CP6A	Region 10.1	NRPS,azole-containing-RiPP	33,044	79,313			
CP6A	Region 26.1	terpene-precursor	66,643	87,530			
CP6A	Region 28.1	NRPS	11,404	75,648	Medium	viscosin	NRPS:Type I
CP6A	Region 33.1	RiPP-like	34,019	44,900			
CP6A	Region 48.1	NRPS-like	1	17,071			
CP17D	Region 1.1	NRPS,azole-containing-RiPP	107,833	154,102			
CP17D	Region 1.2	betalactone	262,218	290,698			
CP17D	Region 1.3	hydrogen-cyanide,NRP-metallophore,NRPS	593,854	680,080	Low	pyoverdine SXM-1	NRPS:Type I
CP17D	Region 2.1	RiPP-like	46,642	57,487			
CP17D	Region 2.2	redox-cofactor	575,217	597,364			
CP17D	Region 4.1	NI-siderophore	56,857	86,782			
CP17D	Region 4.2	NRPS	167,112	220,008			
CP17D	Region 4.3	NAGGN	256,888	271,768			
CP17D	Region 9.1	arylpolyene	125,041	168,616	Low	APE Vf	other:other
CP17D	Region 11.1	terpene-precursor	66,478	87,365			
CP17D	Region 19.1	RiPP-like	34,044	44,925			
CP17D	Region 21.1	NRPS	11,053	75,297	Medium	viscosin	NRPS:Type I
CP17D	Region 28.1	azole-containing-RiPP	23,071	51,127	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP17D	Region 51.1	NRPS-like	1	19,003			
633A	Region 1.1	NRPS,azole-containing-RiPP	85,420	131,689			
633A	Region 1.2	betalactone	239,920	268,400			
633A	Region 1.3	hydrogen-cyanide,NRP-metallophore,NRPS	521,024	607,164	Low	pyoverdine SXM-1	NRPS:Type I
633A	Region 2.1	RiPP-like	46,666	57,511			
633A	Region 4.1	NRPS	1	33,478	Low	azotobactin D	NRPS:Type I
633A	Region 4.2	NI-siderophore	113,693	143,618			
633A	Region 5.1	terpene-precursor	66,710	87,597			
633A	Region 6.1	arylpolyene	77,116	120,691	Low	APE Vf	other:other
633A	Region 13.1	redox-cofactor	32,410	54,557			
633A	Region 15.1	RiPP-like	34,073	44,954			
633A	Region 19.1	NAGGN	32,875	47,755			
633A	Region 30.1	NRPS	11,142	62,891	Medium	viscosin	NRPS:Type I
633A	Region 39.1	RiPP-like	1	7,497			
633A	Region 52.1	NRPS-like	1	18,213			
623B	Region 1.1	NI-siderophore	265,432	295,357			
623B	Region 1.2	NRPS	441,809	494,705			
623B	Region 1.3	NAGGN	531,693	546,573			
623B	Region 3.1	NRP-metallophore,NRPS,hydrogen-cyanide	69,148	155,289			
623B	Region 4.1	terpene-precursor	268,006	288,893			
623B	Region 5.1	arylpolyene	277,940	321,515	Low	APE Vf	other:other
623B	Region 7.1	NRPS,azole-containing-RiPP	63,079	109,348			
623B	Region 7.2	betalactone	218,762	247,242			
623B	Region 11.1	RiPP-like	46,571	57,416			
623B	Region 14.1	RiPP-like	35,457	46,338			
623B	Region 22.1	redox-cofactor	9,071	31,218			
623B	Region 24.1	NRPS	9,269	73,513	Medium	viscosin	NRPS:Type I
623B	Region 27.1	azole-containing-RiPP	31,148	59,419	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
623B	Region 46.1	NRPS-like	1	17,396			
638A1	Region 1.1	RiPP-like	46,571	57,416			
638A1	Region 2.1	NAGGN	30,228	45,108			
638A1	Region 2.2	NRPS	82,206	135,102			
638A1	Region 2.3	NI-siderophore	282,604	312,529			
638A1	Region 9.1	arylpolyene	7,824	51,399	Low	APE Vf	other:other
638A1	Region 16.1	betalactone	75,343	103,823			
638A1	Region 17.1	NRPS,azole-containing-RiPP	63,079	109,348			
638A1	Region 18.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,632	120,773			
638A1	Region 19.1	RiPP-like	74,418	85,299			
638A1	Region 24.1	terpene-precursor	66,493	87,380			
638A1	Region 26.1	redox-cofactor	55,466	77,613			
638A1	Region 27.1	NRPS	9,110	73,354	Medium	viscosin	NRPS:Type I
638A1	Region 40.1	RiPP-like	1	7,981			
638A1	Region 57.1	NRPS-like	1	17,380			
CP20G1	Region 1.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,635	120,782			
CP20G1	Region 1.2	betalactone	385,269	413,749			
CP20G1	Region 1.3	NRPS	520,655	566,924			
CP20G1	Region 2.1	RiPP-like	46,670	57,515			
CP20G1	Region 2.2	redox-cofactor	585,217	607,364			
CP20G1	Region 3.1	NI-siderophore	219,749	249,674			
CP20G1	Region 3.2	NRPS	329,720	382,616			
CP20G1	Region 3.3	NAGGN	419,488	434,368			
CP20G1	Region 6.1	NRPS	11,219	75,463	Medium	viscosin	NRPS:Type I
CP20G1	Region 7.1	terpene-precursor	66,549	87,436			
CP20G1	Region 8.1	arylpolyene	8,193	51,768	Low	APE Vf	other:other
