Genome1	Genome2	ANI	Spots	Spots2	Lake1	Lake2
623B	623B	100	2141	2146	Sixty Lake	Sixty Lake
629A2A	623B	99.9784	2135	2152	Sixty Lake	Sixty Lake
630A	623B	99.9774	2134	2146	Sixty Lake	Sixty Lake
631B	623B	99.9804	2135	2154	Sixty Lake	Sixty Lake
632B	623B	98.9268	1969	2079	Sixty Lake	Sixty Lake
633A	623B	98.9016	1968	2078	Sixty Lake	Sixty Lake
638A1	623B	99.9762	2129	2136	Sixty Lake	Sixty Lake
642A	623B	98.9161	1971	2081	Sixty Lake	Sixty Lake
643E	623B	99.9817	2131	2148	Sixty Lake	Sixty Lake
CP10A	623B	98.8596	1932	2040	Conness Pond	Sixty Lake
CP13A	623B	98.8191	1936	2223	Conness Pond	Sixty Lake
CP15C	623B	98.8341	1940	2226	Conness Pond	Sixty Lake
CP17D	623B	98.93	1944	2056	Conness Pond	Sixty Lake
CP19F2	623B	98.8109	1950	2227	Conness Pond	Sixty Lake
CP20G1	623B	98.8664	1920	2034	Conness Pond	Sixty Lake
CP3F2	623B	98.8381	1935	2220	Conness Pond	Sixty Lake
CP5A	623B	98.8904	1923	2037	Conness Pond	Sixty Lake
CP6A	623B	98.8373	1941	2228	Conness Pond	Sixty Lake
623B	629A2A	99.9812	2134	2146	Sixty Lake	Sixty Lake
629A2A	629A2A	100	2148	2152	Sixty Lake	Sixty Lake
630A	629A2A	99.9847	2137	2146	Sixty Lake	Sixty Lake
631B	629A2A	99.9856	2139	2154	Sixty Lake	Sixty Lake
632B	629A2A	98.9045	1975	2079	Sixty Lake	Sixty Lake
633A	629A2A	98.882	1977	2078	Sixty Lake	Sixty Lake
638A1	629A2A	99.9849	2126	2136	Sixty Lake	Sixty Lake
642A	629A2A	98.9066	1979	2081	Sixty Lake	Sixty Lake
643E	629A2A	99.9852	2136	2148	Sixty Lake	Sixty Lake
CP10A	629A2A	98.8583	1932	2040	Conness Pond	Sixty Lake
CP13A	629A2A	98.8294	1946	2223	Conness Pond	Sixty Lake
CP15C	629A2A	98.8167	1952	2226	Conness Pond	Sixty Lake
CP17D	629A2A	98.9223	1943	2056	Conness Pond	Sixty Lake
CP19F2	629A2A	98.8138	1950	2227	Conness Pond	Sixty Lake
CP20G1	629A2A	98.838	1936	2034	Conness Pond	Sixty Lake
CP3F2	629A2A	98.8551	1942	2220	Conness Pond	Sixty Lake
CP5A	629A2A	98.8713	1934	2037	Conness Pond	Sixty Lake
CP6A	629A2A	98.8395	1946	2228	Conness Pond	Sixty Lake
623B	630A	99.9836	2129	2146	Sixty Lake	Sixty Lake
629A2A	630A	99.9788	2134	2152	Sixty Lake	Sixty Lake
630A	630A	100	2142	2146	Sixty Lake	Sixty Lake
631B	630A	99.9824	2129	2154	Sixty Lake	Sixty Lake
