623B.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
623B.fasta_final-viral-boundary.tsv	NODE_57_length_1266_cov_134.652649	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_57_length_1266_cov_134.652649||full	1.0	ssDNA
623B.fasta_final-viral-boundary.tsv	NODE_56_length_1282_cov_49.113693	1	2	20	1282	0.913	0.913	1	2	20	1282	NA	NA	0	1	2	20	1282	0.913	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NODE_56_length_1282_cov_49.113693||full	0.913	ssDNA
623B.fasta_final-viral-boundary.tsv	NODE_55_length_1817_cov_68.530460	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_55_length_1817_cov_68.530460||full	0.953	ssDNA
623B.fasta_final-viral-boundary.tsv	NODE_53_length_2483_cov_46.130507	1	4	1	2481	0.96	0.96	1	4	1	2481	NA	NA	0	1	4	1	2481	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_53_length_2483_cov_46.130507||full	0.96	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_41_length_28167_cov_28.033927	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_41_length_28167_cov_28.033927||full	0.987	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_37_length_30915_cov_27.972664	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_37_length_30915_cov_27.972664||full	0.993	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_28_length_69351_cov_28.979978	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_28_length_69351_cov_28.979978||full	0.913	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_8_length_269428_cov_27.319576	12	81	7473	72734	0.933	0.98	10	81	5344	72734	0.9	1.0	1	1	260	3	269292	0.447	0.0	26.2	0.0	38.1	10.7	25.0	6	dsDNAphage	linear	NODE_8_length_269428_cov_27.319576||0_partial	0.933	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_7_length_288871_cov_26.471952	1	32	1	30395	0.9	0.947	1	32	1	30395	0.9	1.0	1	1	252	1	288870	0.453	0.0	40.9	0.0	31.8	13.6	13.6	4	dsDNAphage	linear	NODE_7_length_288871_cov_26.471952||0_partial	0.9	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_3_length_374585_cov_26.417374	187	199	249987	262545	0.907	0.907	187	199	249987	262545	0.907	0.967	1	1	311	293	374585	0.133	0.0	12.0	0.0	20.0	12.0	56.0	1	dsDNAphage	linear	NODE_3_length_374585_cov_26.417374||0_partial	0.907	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_2_length_426816_cov_27.271306	1	28	1	22602	0.907	0.947	1	28	1	22602	0.907	0.993	1	1	367	1	426516	0.273	0.0	17.5	2.5	20.0	15.0	45.0	4	dsDNAphage	linear	NODE_2_length_426816_cov_27.271306||0_partial	0.907	dsDNAphage
623B.fasta_final-viral-boundary.tsv	NODE_17_length_135566_cov_27.189558	45	97	46410	92085	0.88	0.88	45	97	46410	92085	0.88	0.973	1	1	134	144	135341	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_17_length_135566_cov_27.189558||0_partial	0.88	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
629A2A.fasta_final-viral-boundary.tsv	NODE_48_length_1266_cov_119.201009	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_48_length_1266_cov_119.201009||full	1.0	ssDNA
629A2A.fasta_final-viral-boundary.tsv	NODE_45_length_1817_cov_53.580460	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_45_length_1817_cov_53.580460||full	0.953	ssDNA
629A2A.fasta_final-viral-boundary.tsv	NODE_43_length_2483_cov_44.435162	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_43_length_2483_cov_44.435162||full	0.96	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_33_length_28167_cov_26.119046	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_33_length_28167_cov_26.119046||full	0.987	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_31_length_30915_cov_24.454245	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_31_length_30915_cov_24.454245||full	0.993	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_24_length_69351_cov_26.497589	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_24_length_69351_cov_26.497589||full	0.913	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_8_length_288740_cov_24.175045	233	253	270660	288740	0.933	0.953	233	253	270660	288740	0.933	0.973	1	1	253	2	288740	0.447	0.0	19.0	0.0	47.6	4.8	28.6	4	dsDNAphage	linear	NODE_8_length_288740_cov_24.175045||0_partial	0.933	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_4_length_426960_cov_24.604627	341	367	404893	426960	0.947	0.947	341	367	404893	426960	0.947	0.947	1	1	367	302	426960	0.267	0.0	7.4	0.0	29.6	7.4	55.6	4	dsDNAphage	linear	NODE_4_length_426960_cov_24.604627||0_partial	0.947	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_1_length_695688_cov_24.469642	125	205	124144	201930	0.907	0.933	125	205	124144	201930	0.907	1.0	1	1	663	580	695526	0.367	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_1_length_695688_cov_24.469642||0_partial	0.907	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_17_length_135504_cov_24.930139	45	97	46414	92089	0.88	0.88	45	97	46414	92089	0.88	0.973	1	1	134	148	135278	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_17_length_135504_cov_24.930139||0_partial	0.88	dsDNAphage
629A2A.fasta_final-viral-boundary.tsv	NODE_11_length_214970_cov_24.420181	104	121	106851	120146	0.933	0.933	104	121	106851	120146	0.933	1.0	1	1	196	304	214968	0.093	0.0	13.3	0.0	16.7	16.7	53.3	1	dsDNAphage	linear	NODE_11_length_214970_cov_24.420181||0_partial	0.933	dsDNAphage
630A.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
630A.fasta_final-viral-boundary.tsv	NODE_59_length_1282_cov_37.587552	1	2	20	1282	0.913	0.913	1	2	20	1282	NA	NA	0	1	2	20	1282	0.913	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NODE_59_length_1282_cov_37.587552||full	0.913	ssDNA
630A.fasta_final-viral-boundary.tsv	NODE_58_length_1817_cov_49.209770	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_58_length_1817_cov_49.209770||full	0.953	ssDNA
630A.fasta_final-viral-boundary.tsv	NODE_56_length_2483_cov_38.197007	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_56_length_2483_cov_38.197007||full	0.96	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_41_length_28167_cov_22.287754	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_41_length_28167_cov_22.287754||full	0.987	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_38_length_30915_cov_20.852974	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_38_length_30915_cov_20.852974||full	0.993	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_25_length_69351_cov_22.819673	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_25_length_69351_cov_22.819673||full	0.913	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_5_length_346497_cov_20.988892	161	174	214826	228534	0.887	0.887	161	174	214826	228534	0.887	0.96	1	1	288	455	346496	0.167	0.0	11.5	0.0	19.2	11.5	57.7	1	dsDNAphage	linear	NODE_5_length_346497_cov_20.988892||0_partial	0.887	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_4_length_386586_cov_21.603489	125	205	124016	201784	0.907	0.933	125	205	124016	201784	0.907	1.0	1	1	374	580	386489	0.433	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_4_length_386586_cov_21.603489||0_partial	0.907	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_3_length_426845_cov_21.425770	341	367	404778	426845	0.947	0.947	341	367	404778	426845	0.947	0.947	1	1	367	200	426845	0.267	0.0	7.4	0.0	29.6	7.4	55.6	4	dsDNAphage	linear	NODE_3_length_426845_cov_21.425770||0_partial	0.947	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_17_length_135243_cov_21.747252	56	95	60801	92574	0.92	0.94	56	95	60801	92574	0.92	1.0	1	1	134	250	135100	0.573	0.0	25.0	0.0	36.5	19.2	19.2	11	dsDNAphage	linear	NODE_17_length_135243_cov_21.747252||0_partial	0.92	dsDNAphage
630A.fasta_final-viral-boundary.tsv	NODE_15_length_144956_cov_21.118837	111	131	126876	144956	0.933	0.953	111	131	126876	144956	0.933	0.973	1	1	131	100	144956	0.5	0.0	19.0	0.0	47.6	4.8	28.6	4	dsDNAphage	linear	NODE_15_length_144956_cov_21.118837||0_partial	0.933	dsDNAphage
631B.fasta_final-viral-boundary.tsv	seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
631B.fasta_final-viral-boundary.tsv	NODE_51_length_1266_cov_116.021026	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_51_length_1266_cov_116.021026||full	1.0	ssDNA
631B.fasta_final-viral-boundary.tsv	NODE_50_length_1282_cov_41.698755	1	2	1	1263	0.973	0.973	1	2	1	1263	NA	NA	0	1	2	1	1263	0.973	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NODE_50_length_1282_cov_41.698755||full	0.973	ssDNA
631B.fasta_final-viral-boundary.tsv	NODE_48_length_1817_cov_56.082759	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_48_length_1817_cov_56.082759||full	0.953	ssDNA
631B.fasta_final-viral-boundary.tsv	NODE_46_length_2483_cov_42.202411	1	4	1	2481	0.96	0.96	1	4	1	2481	NA	NA	0	1	4	1	2481	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_46_length_2483_cov_42.202411||full	0.96	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_34_length_28167_cov_25.116661	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_34_length_28167_cov_25.116661||full	0.987	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_32_length_30915_cov_23.682405	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_32_length_30915_cov_23.682405||full	0.993	dsDNAphage
631B.fasta_final-viral-boundary.tsv	NODE_25_length_69351_cov_25.021249	1	92	3	69317	0.913	0.927	1	92	3	69317	NA	NA	0	1	92	3	69317	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_25_length_69351_cov_25.021249||full	0.913	dsDNAphage
