Isolate	marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	GC	GC std	Genome size	# ambiguous bases	# scaffolds	# contigs	Longest scaffold	Longest contig	N50 (scaffolds)	N50 (contigs)	Mean scaffold length	Mean contig length	Coding density	Translation table	# predicted genes
CP5A	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.416666667	0.599034505	0.026922947	6234813	1950	333	402	691080	288767	292598	109991	18723.16216	15504.63433	0.885889601	11	5744
629A2A	g__Pseudomonas	78	1044	368	1	1037	6	0	0	0	99.93206522	0.338248708	0.597454229	0.023802257	6585836	2212	316	364	695688	421941	304003	139491	20841.25316	18086.87912	0.885948572	11	6038
CP17D	g__Pseudomonas	78	1044	368	1	1036	7	0	0	0	99.93206522	0.519091416	0.598487521	0.027551143	6321429	1740	364	421	714794	458268	176423	83321	17366.56319	15011.13777	0.88458559	11	5810
632B	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.360576923	0.598784835	0.028857	6362464	1680	272	341	696009	522929	390299	87754	23391.41176	18653.32551	0.886278806	11	5841
CP10A	g__Pseudomonas	78	1044	368	1	1039	4	0	0	0	99.93206522	0.326086957	0.599243324	0.027925631	6228689	2250	257	320	691052	383434	333294	120094	24236.14397	19457.62188	0.886342535	11	5700
642A	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.428511706	0.598812078	0.033095219	6363814	1950	263	322	695960	321834	399855	104118	24197.01141	19757.34161	0.886441684	11	5843
CP20G1	g__Pseudomonas	78	1044	368	1	1037	6	0	0	0	99.93206522	0.622529644	0.599335328	0.027347139	6251635	1940	394	444	690819	425831	333351	135220	15867.09391	14075.88964	0.885303445	11	5796
631B	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.317345698	0.597684712	0.01989019	6593531	2300	362	412	663170	426660	288606	135688	18214.17403	15998.1335	0.885994924	11	6085
CP6A	g__Pseudomonas	78	1044	368	1	1035	8	0	0	0	99.93206522	0.869565217	0.594109552	0.026894637	6829034	2490	277	346	657827	496979	203603	96900	24653.55235	19729.89595	0.881293899	11	6438
638A1	g__Pseudomonas	78	1044	368	1	1037	6	0	0	0	99.93206522	0.371693524	0.597876177	0.023253816	6579642	1504	335	389	569647	332932	165086	94671	19640.72239	16910.38046	0.887011786	11	6090
630A	g__Pseudomonas	78	1044	368	1	1036	7	0	0	0	99.93206522	0.392596534	0.597584512	0.017024439	6591606	2379	376	431	656455	578876	242201	107025	17530.86702	15288.2297	0.885761528	11	6104
633A	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.319816054	0.598947831	0.024963653	6363037	1700	232	303	641826	302705	195540	85106	27426.88362	20994.51155	0.886442905	11	5826
623B	g__Pseudomonas	78	1044	368	1	1038	5	0	0	0	99.93206522	0.317345698	0.597631671	0.020008926	6587804	2400	341	392	576800	426816	263697	120807	19319.07331	16799.5	0.885798819	11	6062
CP15C	g__Pseudomonas	78	1044	368	1	1036	7	0	0	0	99.93206522	0.801630435	0.594052515	0.027059741	6825912	2490	292	379	620142	276074	223226	84063	23376.41096	18003.75198	0.881577436	11	6428
643E	g__Pseudomonas	78	1044	368	1	1037	6	0	0	0	99.93206522	0.453215263	0.597516197	0.019680497	6594900	2590	398	450	578000	426691	263918	101807	16570.1005	14649.57778	0.885439203	11	6097
CP13A	g__Pseudomonas	78	1044	368	1	1036	7	0	0	0	99.93206522	0.801630435	0.594073704	0.026232516	6829123	2093	321	386	657075	340045	152716	96900	21274.52648	17686.60622	0.881584795	11	6454
CP3F2	g__Pseudomonas	78	1044	368	2	1035	7	0	0	0	99.84148551	0.801630435	0.59393548	0.02677906	6824585	1918	296	363	561412	512344	215612	91471	23056.03041	18795.2259	0.88180219	11	6437
CP19F2	g__Pseudomonas	78	1044	368	1	1036	7	0	0	0	99.93206522	0.801630435	0.594075094	0.027610667	6831895	2420	312	374	657522	561142	306315	99310	21897.09936	18260.62834	0.881687438	11	6460
