Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CP10A_scaffolds.fasta_PROKKA_09032023,CP12E_scaffolds.fasta_PROKKA_09032023,CP13A_scaffolds.fasta_PROKKA_09032023,CP15C_scaffolds.fasta_PROKKA_09032023,CP17D_scaffolds.fasta_PROKKA_09032023,CP19F2_scaffolds.fasta_PROKKA_09032023,CP20G1_scaffolds.fasta_PROKKA_09032023,CP2A_scaffolds.fasta_PROKKA_09032023,CP3F2_scaffolds.fasta_PROKKA_09032023,CP5A_scaffolds.fasta_PROKKA_09032023
group_3352,,hypothetical protein,10,10,1.0,16,2,,,,294,294,294.0,JPLAHNLF_05954,JAGMMPDK_01123,EONIFOAI_06307,BJIDENJG_06308,HGPKINJB_06312,IJMDIMPO_05949,CJGAGBCL_04559,OLBBELCE_05951,DHHEPMPN_05949,IHHDMFPH_04650
group_3351,,IS3 family transposase ISThsp4,10,10,1.0,16,1,,,,783,783,783.0,JPLAHNLF_05955,JAGMMPDK_01122,2_refound_22,3_refound_30,4_refound_43,IJMDIMPO_05950,CJGAGBCL_04558,OLBBELCE_05952,DHHEPMPN_05950,IHHDMFPH_04649
group_3342,,hypothetical protein,10,10,1.0,12,10,,,,1947,1947,1947.0,JPLAHNLF_05895,JAGMMPDK_05888,EONIFOAI_06257,BJIDENJG_06231,HGPKINJB_06243,IJMDIMPO_05875,CJGAGBCL_05893,OLBBELCE_05900,DHHEPMPN_05893,IHHDMFPH_05796
lgrD_2,lgrD_2,Linear gramicidin synthase subunit D,10,10,1.0,12,9,,,,3378,3378,3378.0,JPLAHNLF_05890,JAGMMPDK_05883,EONIFOAI_06252,BJIDENJG_06236,HGPKINJB_06238,IJMDIMPO_05870,CJGAGBCL_05898,OLBBELCE_05895,DHHEPMPN_05898,IHHDMFPH_05801
group_3341,,hypothetical protein,10,10,1.0,12,8,,,,459,459,459.0,JPLAHNLF_05889,JAGMMPDK_05882,EONIFOAI_06251,BJIDENJG_06237,HGPKINJB_06237,IJMDIMPO_05869,CJGAGBCL_05899,OLBBELCE_05894,DHHEPMPN_05899,IHHDMFPH_05802
mcpA,mcpA,Methyl-accepting chemotaxis protein McpA,10,10,1.0,12,7,,,,1881,1881,1881.0,JPLAHNLF_05888,JAGMMPDK_05881,EONIFOAI_06250,BJIDENJG_06238,HGPKINJB_06236,IJMDIMPO_05868,CJGAGBCL_05900,OLBBELCE_05893,DHHEPMPN_05900,IHHDMFPH_05803
group_3340,,hypothetical protein,10,10,1.0,12,6,,,,759,759,759.0,JPLAHNLF_05892,JAGMMPDK_05885,EONIFOAI_06254,BJIDENJG_06234,HGPKINJB_06240,IJMDIMPO_05872,CJGAGBCL_05896,OLBBELCE_05897,DHHEPMPN_05896,IHHDMFPH_05799
group_3339,,hypothetical protein,10,10,1.0,12,5,,,,948,948,948.0,JPLAHNLF_05891,JAGMMPDK_05884,EONIFOAI_06253,BJIDENJG_06235,HGPKINJB_06239,IJMDIMPO_05871,CJGAGBCL_05897,OLBBELCE_05896,DHHEPMPN_05897,IHHDMFPH_05800
group_3338,,hypothetical protein,10,10,1.0,12,4,,,,339,339,339.0,JPLAHNLF_05896,JAGMMPDK_05889,EONIFOAI_06258,BJIDENJG_06230,HGPKINJB_06244,IJMDIMPO_05876,CJGAGBCL_05892,OLBBELCE_05901,DHHEPMPN_05892,IHHDMFPH_05795
group_3337,,hypothetical protein,10,10,1.0,12,3,,,,624,624,624.0,JPLAHNLF_05894,JAGMMPDK_05887,EONIFOAI_06256,BJIDENJG_06232,HGPKINJB_06242,IJMDIMPO_05874,CJGAGBCL_05894,OLBBELCE_05899,DHHEPMPN_05894,IHHDMFPH_05797
group_3336,,hypothetical protein,10,10,1.0,12,2,,,,711,711,711.0,JPLAHNLF_05893,JAGMMPDK_05886,EONIFOAI_06255,BJIDENJG_06233,HGPKINJB_06241,IJMDIMPO_05873,CJGAGBCL_05895,OLBBELCE_05898,DHHEPMPN_05895,IHHDMFPH_05798
group_3335,,hypothetical protein,10,10,1.0,12,1,,,,4086,6699,4512.9,JPLAHNLF_05897,JAGMMPDK_05890,EONIFOAI_06259,BJIDENJG_06229,HGPKINJB_06245,IJMDIMPO_05877,CJGAGBCL_05891,OLBBELCE_05902,DHHEPMPN_05891,IHHDMFPH_05794
gcvA_12,gcvA_12,Glycine cleavage system transcriptional activator,10,10,1.0,11,28,,,,876,876,876.0,JPLAHNLF_05709,JAGMMPDK_05676,EONIFOAI_06098,BJIDENJG_06153,HGPKINJB_06176,IJMDIMPO_05737,CJGAGBCL_05731,OLBBELCE_05783,DHHEPMPN_05733,IHHDMFPH_01168
glmU_2,glmU_2,Bifunctional protein GlmU,10,10,1.0,11,27,,,,618,618,618.0,JPLAHNLF_05729,JAGMMPDK_05656,EONIFOAI_06118,BJIDENJG_06173,HGPKINJB_06156,IJMDIMPO_05717,CJGAGBCL_05711,OLBBELCE_05803,DHHEPMPN_05753,IHHDMFPH_01148
gcvA_13,gcvA_13,Glycine cleavage system transcriptional activator,10,10,1.0,11,26,,,,933,933,933.0,JPLAHNLF_05719,JAGMMPDK_05666,EONIFOAI_06108,BJIDENJG_06163,HGPKINJB_06166,IJMDIMPO_05727,CJGAGBCL_05721,OLBBELCE_05793,DHHEPMPN_05743,IHHDMFPH_01158
hcaR_3,hcaR_3,Hca operon transcriptional activator HcaR,10,10,1.0,11,25,,,,915,915,915.0,JPLAHNLF_05717,JAGMMPDK_05668,EONIFOAI_06106,BJIDENJG_06161,HGPKINJB_06168,IJMDIMPO_05729,CJGAGBCL_05723,OLBBELCE_05791,DHHEPMPN_05741,IHHDMFPH_01160
betA_2,betA_2,Oxygen-dependent choline dehydrogenase,10,10,1.0,11,24,,,,1611,1611,1611.0,JPLAHNLF_05723,JAGMMPDK_05662,EONIFOAI_06112,BJIDENJG_06167,HGPKINJB_06162,IJMDIMPO_05723,CJGAGBCL_05717,OLBBELCE_05797,DHHEPMPN_05747,IHHDMFPH_01154
dddP,dddP,Dimethlysulfonioproprionate lyase DddP,10,10,1.0,11,22,,,,1227,1227,1227.0,JPLAHNLF_05715,JAGMMPDK_05670,EONIFOAI_06104,BJIDENJG_06159,HGPKINJB_06170,IJMDIMPO_05731,CJGAGBCL_05725,OLBBELCE_05789,DHHEPMPN_05739,IHHDMFPH_01162
ssuC_3,ssuC_3,Putative aliphatic sulfonates transport permease protein SsuC,10,10,1.0,11,21,,,,828,828,828.0,JPLAHNLF_05733,JAGMMPDK_05652,EONIFOAI_06122,BJIDENJG_06177,HGPKINJB_06152,IJMDIMPO_05713,CJGAGBCL_05707,OLBBELCE_05807,DHHEPMPN_05757,IHHDMFPH_01144
thadh,thadh,L-threo-3-hydroxyaspartate ammonia-lyase,10,10,1.0,11,20,,,,966,966,966.0,JPLAHNLF_05728,JAGMMPDK_05657,EONIFOAI_06117,BJIDENJG_06172,HGPKINJB_06157,IJMDIMPO_05718,CJGAGBCL_05712,OLBBELCE_05802,DHHEPMPN_05752,IHHDMFPH_01149
dauR_2,dauR_2,Transcriptional regulator DauR,10,10,1.0,11,19,,,,639,639,639.0,JPLAHNLF_05726,JAGMMPDK_05659,EONIFOAI_06115,BJIDENJG_06170,HGPKINJB_06159,IJMDIMPO_05720,CJGAGBCL_05714,OLBBELCE_05800,DHHEPMPN_05750,IHHDMFPH_01151
group_3334,,hypothetical protein,10,10,1.0,11,18,,,,1233,1233,1233.0,JPLAHNLF_05718,JAGMMPDK_05667,EONIFOAI_06107,BJIDENJG_06162,HGPKINJB_06167,IJMDIMPO_05728,CJGAGBCL_05722,OLBBELCE_05792,DHHEPMPN_05742,IHHDMFPH_01159
group_3333,,hypothetical protein,10,10,1.0,11,17,,,,882,882,882.0,JPLAHNLF_05716,JAGMMPDK_05669,EONIFOAI_06105,BJIDENJG_06160,HGPKINJB_06169,IJMDIMPO_05730,CJGAGBCL_05724,OLBBELCE_05790,DHHEPMPN_05740,IHHDMFPH_01161
group_3332,,hypothetical protein,10,10,1.0,11,16,,,,1635,1635,1635.0,JPLAHNLF_05714,JAGMMPDK_05671,EONIFOAI_06103,BJIDENJG_06158,HGPKINJB_06171,IJMDIMPO_05732,CJGAGBCL_05726,OLBBELCE_05788,DHHEPMPN_05738,IHHDMFPH_01163
gsiA,gsiA,Glutathione import ATP-binding protein GsiA,10,10,1.0,11,15,,,,1638,1638,1638.0,JPLAHNLF_05711,JAGMMPDK_05674,EONIFOAI_06100,BJIDENJG_06155,HGPKINJB_06174,IJMDIMPO_05735,CJGAGBCL_05729,OLBBELCE_05785,DHHEPMPN_05735,IHHDMFPH_01166
gsiD,gsiD,Glutathione transport system permease protein GsiD,10,10,1.0,11,14,,,,837,837,837.0,JPLAHNLF_05712,JAGMMPDK_05673,EONIFOAI_06101,BJIDENJG_06156,HGPKINJB_06173,IJMDIMPO_05734,CJGAGBCL_05728,OLBBELCE_05786,DHHEPMPN_05736,IHHDMFPH_01165
group_3331,,hypothetical protein,10,10,1.0,11,13,,,,1170,1170,1170.0,JPLAHNLF_05710,JAGMMPDK_05675,EONIFOAI_06099,BJIDENJG_06154,HGPKINJB_06175,IJMDIMPO_05736,CJGAGBCL_05730,OLBBELCE_05784,DHHEPMPN_05734,IHHDMFPH_01167
group_3330,,hypothetical protein,10,10,1.0,11,12,,,,972,972,972.0,JPLAHNLF_05734,JAGMMPDK_05651,EONIFOAI_06123,BJIDENJG_06178,HGPKINJB_06151,IJMDIMPO_05712,CJGAGBCL_05706,OLBBELCE_05808,DHHEPMPN_05758,IHHDMFPH_01143
group_3329,,hypothetical protein,10,10,1.0,11,11,,,,216,216,216.0,JPLAHNLF_05735,JAGMMPDK_05650,EONIFOAI_06124,BJIDENJG_06179,HGPKINJB_06150,IJMDIMPO_05711,CJGAGBCL_05705,OLBBELCE_05809,DHHEPMPN_05759,IHHDMFPH_01142
fecR_4,fecR_4,Protein FecR,10,10,1.0,11,10,,,,924,924,924.0,JPLAHNLF_05731,JAGMMPDK_05654,EONIFOAI_06120,BJIDENJG_06175,HGPKINJB_06154,IJMDIMPO_05715,CJGAGBCL_05709,OLBBELCE_05805,DHHEPMPN_05755,IHHDMFPH_01146
dthadh,dthadh,D-threo-3-hydroxyaspartate dehydratase,10,10,1.0,11,9,,,,1104,1104,1104.0,JPLAHNLF_05725,JAGMMPDK_05660,EONIFOAI_06114,BJIDENJG_06169,HGPKINJB_06160,IJMDIMPO_05721,CJGAGBCL_05715,OLBBELCE_05799,DHHEPMPN_05749,IHHDMFPH_01152
ssuB_3,ssuB_3,Aliphatic sulfonates import ATP-binding protein SsuB,10,10,1.0,11,8,,,,711,711,711.0,JPLAHNLF_05732,JAGMMPDK_05653,EONIFOAI_06121,BJIDENJG_06176,HGPKINJB_06153,IJMDIMPO_05714,CJGAGBCL_05708,OLBBELCE_05806,DHHEPMPN_05756,IHHDMFPH_01145
aldA,aldA,Lactaldehyde dehydrogenase,10,10,1.0,11,7,,,,1425,1425,1425.0,JPLAHNLF_05720,JAGMMPDK_05665,EONIFOAI_06109,BJIDENJG_06164,HGPKINJB_06165,IJMDIMPO_05726,CJGAGBCL_05720,OLBBELCE_05794,DHHEPMPN_05744,IHHDMFPH_01157
yabJ_5,yabJ_5,2-iminobutanoate/2-iminopropanoate deaminase,10,10,1.0,11,6,,,,381,381,381.0,JPLAHNLF_05727,JAGMMPDK_05658,EONIFOAI_06116,BJIDENJG_06171,HGPKINJB_06158,IJMDIMPO_05719,CJGAGBCL_05713,OLBBELCE_05801,DHHEPMPN_05751,IHHDMFPH_01150
fecI_6,fecI_6,putative RNA polymerase sigma factor FecI,10,10,1.0,11,5,,,,519,519,519.0,JPLAHNLF_05730,JAGMMPDK_05655,EONIFOAI_06119,BJIDENJG_06174,HGPKINJB_06155,IJMDIMPO_05716,CJGAGBCL_05710,OLBBELCE_05804,DHHEPMPN_05754,IHHDMFPH_01147
dppB_2,dppB_2,Dipeptide transport system permease protein DppB,10,10,1.0,11,3,,,,954,954,954.0,JPLAHNLF_05713,JAGMMPDK_05672,EONIFOAI_06102,BJIDENJG_06157,HGPKINJB_06172,IJMDIMPO_05733,CJGAGBCL_05727,OLBBELCE_05787,DHHEPMPN_05737,IHHDMFPH_01164
dgoD_2,dgoD_2,D-galactonate dehydratase,10,10,1.0,11,2,,,,1218,1218,1218.0,JPLAHNLF_05722,JAGMMPDK_05663,EONIFOAI_06111,BJIDENJG_06166,HGPKINJB_06163,IJMDIMPO_05724,CJGAGBCL_05718,OLBBELCE_05796,DHHEPMPN_05746,IHHDMFPH_01155
yihN,yihN,Inner membrane protein YihN,10,10,1.0,11,1,,,,1311,1311,1311.0,JPLAHNLF_05721,JAGMMPDK_05664,EONIFOAI_06110,BJIDENJG_06165,HGPKINJB_06164,IJMDIMPO_05725,CJGAGBCL_05719,OLBBELCE_05795,DHHEPMPN_05745,IHHDMFPH_01156
group_3327,,hypothetical protein,10,10,1.0,10,27,,,,3348,3348,3348.0,JPLAHNLF_05584,JAGMMPDK_05579,EONIFOAI_06215,BJIDENJG_06216,HGPKINJB_06235,IJMDIMPO_05640,CJGAGBCL_05660,OLBBELCE_05690,DHHEPMPN_05609,IHHDMFPH_05816
rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,10,10,1.0,10,25,,,,1077,1077,1077.0,JPLAHNLF_05601,JAGMMPDK_05596,EONIFOAI_06209,BJIDENJG_06210,HGPKINJB_06229,IJMDIMPO_05657,CJGAGBCL_05643,OLBBELCE_05707,DHHEPMPN_05626,IHHDMFPH_05810
nicB,nicB,Nicotinate dehydrogenase subunit B,10,10,1.0,10,22,,,,3528,3528,3528.0,JPLAHNLF_05610,JAGMMPDK_05605,EONIFOAI_06200,BJIDENJG_06201,HGPKINJB_06220,IJMDIMPO_05666,CJGAGBCL_05634,OLBBELCE_05716,DHHEPMPN_05635,IHHDMFPH_05866
gabR_3~~~gabR_4,gabR_3;gabR_4,HTH-type transcriptional regulatory protein GabR,10,10,1.0,10,18,,,,1386,1488,1467.0,JPLAHNLF_05589,JAGMMPDK_05584,EONIFOAI_06210,BJIDENJG_06211,HGPKINJB_06230,IJMDIMPO_05645,CJGAGBCL_05655,OLBBELCE_05695,DHHEPMPN_05614,IHHDMFPH_05811
nicX,nicX,25-dihydroxypyridine 56-dioxygenase,10,10,1.0,10,15,,,,1053,1053,1053.0,JPLAHNLF_05607,JAGMMPDK_05602,EONIFOAI_06203,BJIDENJG_06204,HGPKINJB_06223,IJMDIMPO_05663,CJGAGBCL_05637,OLBBELCE_05713,DHHEPMPN_05632,IHHDMFPH_05804
nicR,nicR,HTH-type transcriptional repressor NicR,10,10,1.0,10,14,,,,435,435,435.0,JPLAHNLF_05608,JAGMMPDK_05603,EONIFOAI_06202,BJIDENJG_06203,HGPKINJB_06222,IJMDIMPO_05664,CJGAGBCL_05636,OLBBELCE_05714,DHHEPMPN_05633,IHHDMFPH_05868
maiA,maiA,Maleate isomerase,10,10,1.0,10,13,,,,753,753,753.0,JPLAHNLF_05604,JAGMMPDK_05599,EONIFOAI_06206,BJIDENJG_06207,HGPKINJB_06226,IJMDIMPO_05660,CJGAGBCL_05640,OLBBELCE_05710,DHHEPMPN_05629,IHHDMFPH_05807
nicC,nicC,6-hydroxynicotinate 3-monooxygenase,10,10,1.0,10,12,,,,1134,1134,1134.0,JPLAHNLF_05606,JAGMMPDK_05601,EONIFOAI_06204,BJIDENJG_06205,HGPKINJB_06224,IJMDIMPO_05662,CJGAGBCL_05638,OLBBELCE_05712,DHHEPMPN_05631,IHHDMFPH_05805
nicA,nicA,Nicotinate dehydrogenase subunit A,10,10,1.0,10,10,,,,492,492,492.0,JPLAHNLF_05609,JAGMMPDK_05604,EONIFOAI_06201,BJIDENJG_06202,HGPKINJB_06221,IJMDIMPO_05665,CJGAGBCL_05635,OLBBELCE_05715,DHHEPMPN_05634,IHHDMFPH_05867
group_3324,,hypothetical protein,10,10,1.0,10,8,,,,441,441,441.0,JPLAHNLF_05587,JAGMMPDK_05582,EONIFOAI_06212,BJIDENJG_06213,HGPKINJB_06232,IJMDIMPO_05643,CJGAGBCL_05657,OLBBELCE_05693,DHHEPMPN_05612,IHHDMFPH_05813
patB,patB,Cystathionine beta-lyase PatB,10,10,1.0,10,7,,,,1146,1146,1146.0,JPLAHNLF_05585,JAGMMPDK_05580,EONIFOAI_06214,BJIDENJG_06215,HGPKINJB_06234,IJMDIMPO_05641,CJGAGBCL_05659,OLBBELCE_05691,DHHEPMPN_05610,IHHDMFPH_05815
group_3323,,hypothetical protein,10,10,1.0,10,6,,,,477,477,477.0,JPLAHNLF_05588,JAGMMPDK_05583,EONIFOAI_06211,BJIDENJG_06212,HGPKINJB_06231,IJMDIMPO_05644,CJGAGBCL_05656,OLBBELCE_05694,DHHEPMPN_05613,IHHDMFPH_05812
nicF,nicF,Maleamate amidohydrolase,10,10,1.0,10,5,,,,633,633,633.0,JPLAHNLF_05603,JAGMMPDK_05598,EONIFOAI_06207,BJIDENJG_06208,HGPKINJB_06227,IJMDIMPO_05659,CJGAGBCL_05641,OLBBELCE_05709,DHHEPMPN_05628,IHHDMFPH_05808
nicT_4,nicT_4,Putative metabolite transport protein NicT,10,10,1.0,10,4,,,,1311,1311,1311.0,JPLAHNLF_05602,JAGMMPDK_05597,EONIFOAI_06208,BJIDENJG_06209,HGPKINJB_06228,IJMDIMPO_05658,CJGAGBCL_05642,OLBBELCE_05708,DHHEPMPN_05627,IHHDMFPH_05809
nicD,nicD,N-formylmaleamate deformylase,10,10,1.0,10,3,,,,798,798,798.0,JPLAHNLF_05605,JAGMMPDK_05600,EONIFOAI_06205,BJIDENJG_06206,HGPKINJB_06225,IJMDIMPO_05661,CJGAGBCL_05639,OLBBELCE_05711,DHHEPMPN_05630,IHHDMFPH_05806
azoR_2,azoR_2,FMN-dependent NADH-azoreductase,10,10,1.0,10,1,,,,594,594,594.0,JPLAHNLF_05586,JAGMMPDK_05581,EONIFOAI_06213,BJIDENJG_06214,HGPKINJB_06233,IJMDIMPO_05642,CJGAGBCL_05658,OLBBELCE_05692,DHHEPMPN_05611,IHHDMFPH_05814
group_3321,,hypothetical protein,10,10,1.0,9,29,,,,960,960,960.0,JPLAHNLF_05564,JAGMMPDK_05531,EONIFOAI_06021,BJIDENJG_06067,HGPKINJB_06059,IJMDIMPO_05602,CJGAGBCL_05582,OLBBELCE_05918,DHHEPMPN_00896,IHHDMFPH_05822
acnB,acnB,Aconitate hydratase B,10,10,1.0,9,28,,,,2625,2625,2625.0,JPLAHNLF_05582,JAGMMPDK_05549,EONIFOAI_05998,BJIDENJG_06090,HGPKINJB_06082,IJMDIMPO_05584,CJGAGBCL_05600,OLBBELCE_05877,DHHEPMPN_00878,IHHDMFPH_05778
group_3320,,hypothetical protein,10,10,1.0,9,27,,,,501,501,501.0,JPLAHNLF_05578,JAGMMPDK_05545,EONIFOAI_06002,BJIDENJG_06086,HGPKINJB_06078,IJMDIMPO_05588,CJGAGBCL_05596,OLBBELCE_05881,DHHEPMPN_00882,IHHDMFPH_05782
group_3319,,hypothetical protein,10,10,1.0,9,26,,,,933,933,933.0,JPLAHNLF_05563,JAGMMPDK_05530,EONIFOAI_06022,BJIDENJG_06066,HGPKINJB_06058,IJMDIMPO_05603,CJGAGBCL_05581,OLBBELCE_05919,DHHEPMPN_00897,IHHDMFPH_05821
group_3318,,hypothetical protein,10,10,1.0,9,25,,,,447,447,447.0,JPLAHNLF_05577,JAGMMPDK_05544,EONIFOAI_06003,BJIDENJG_06085,HGPKINJB_06077,IJMDIMPO_05589,CJGAGBCL_05595,OLBBELCE_05882,DHHEPMPN_00883,IHHDMFPH_05783
sdaC_2,sdaC_2,Serine transporter,10,10,1.0,9,23,,,,1278,1278,1278.0,JPLAHNLF_05579,JAGMMPDK_05546,EONIFOAI_06001,BJIDENJG_06087,HGPKINJB_06079,IJMDIMPO_05587,CJGAGBCL_05597,OLBBELCE_05880,DHHEPMPN_00881,IHHDMFPH_05781
