Gene	p_value	odds_ratio	n_strong_present	n_weak_present	p_adj	Direction	Category	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	go_id	go_name	go_aspect
group_3313	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76071.1|	P76071	RecName: Full=Transposase InsH for insertion sequence element IS5Y [Escherichia coli K-12]	54.902	51	1.32e-12	63.2	GO:0005829	C:cytosol	IDA:EcoCyc
group_3313	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76071.1|	P76071	RecName: Full=Transposase InsH for insertion sequence element IS5Y [Escherichia coli K-12]	54.902	51	1.32e-12	63.2	GO:0003677	F:DNA binding	IEA:UniProtKB-KW
group_3313	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76071.1|	P76071	RecName: Full=Transposase InsH for insertion sequence element IS5Y [Escherichia coli K-12]	54.902	51	1.32e-12	63.2	GO:0004803	F:transposase activity	IBA:GO_Central
group_3313	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76071.1|	P76071	RecName: Full=Transposase InsH for insertion sequence element IS5Y [Escherichia coli K-12]	54.902	51	1.32e-12	63.2	GO:0006313	P:DNA transposition	IBA:GO_Central
group_3313	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76071.1|	P76071	RecName: Full=Transposase InsH for insertion sequence element IS5Y [Escherichia coli K-12]	54.902	51	1.32e-12	63.2	GO:0045893	P:positive regulation of DNA-templated transcription	IMP:EcoCyc
group_3260	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
group_3175	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
group_1548	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76345.2|	P76345	RecName: Full=Cytochrome b561 homolog 1 [Escherichia coli K-12]	34.483	174	4.77e-24	95.9	GO:0005886	C:plasma membrane	IDA:EcoCyc
group_1548	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76345.2|	P76345	RecName: Full=Cytochrome b561 homolog 1 [Escherichia coli K-12]	34.483	174	4.77e-24	95.9	GO:0009055	F:electron transfer activity	IEA:InterPro
group_1548	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76345.2|	P76345	RecName: Full=Cytochrome b561 homolog 1 [Escherichia coli K-12]	34.483	174	4.77e-24	95.9	GO:0020037	F:heme binding	IBA:GO_Central
group_1548	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76345.2|	P76345	RecName: Full=Cytochrome b561 homolog 1 [Escherichia coli K-12]	34.483	174	4.77e-24	95.9	GO:0046872	F:metal ion binding	IEA:UniProtKB-KW
group_1548	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P76345.2|	P76345	RecName: Full=Cytochrome b561 homolog 1 [Escherichia coli K-12]	34.483	174	4.77e-24	95.9	GO:0022904	P:respiratory electron transport chain	IEA:InterPro
group_1346	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0005829	C:cytosol	IBA:GO_Central
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0032993	C:protein-DNA complex	IBA:GO_Central
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0000156	F:phosphorelay response regulator activity	IBA:GO_Central
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0000976	F:transcription cis-regulatory region binding	IBA:GO_Central
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0000160	P:phosphorelay signal transduction system	IDA:PseudoCAP
qseB_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q9HV32.1|	Q9HV32	RecName: Full=Response regulator protein PmrA [Pseudomonas aeruginosa PAO1]	55.046	218	7.41e-69	213	GO:0006355	P:regulation of DNA-templated transcription	IBA:GO_Central
group_1294	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
group_1287	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0005759	C:mitochondrial matrix	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0005739	C:mitochondrion	HTP:FlyBase
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:1990204	C:oxidoreductase complex	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0004316	F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0003955	F:NAD(P)H dehydrogenase (quinone) activity	IDA:UniProtKB
