seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_59_length_1266_cov_120.386880	1	2	1	1217	1.0	1.0	1	2	1	1217	NA	NA	0	1	2	1	1217	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_59_length_1266_cov_120.386880||full	1.0	ssDNA
NODE_55_length_1817_cov_52.929885	1	5	74	1817	0.953	0.953	1	5	74	1817	NA	NA	0	1	5	74	1817	0.953	0.0	0.0	0.0	40.0	0.0	60.0	0	ssDNA	linear	NODE_55_length_1817_cov_52.929885||full	0.953	ssDNA
NODE_54_length_1871_cov_48.197882	1	3	27	1871	0.9	0.9	1	3	27	1871	NA	NA	0	1	3	27	1871	0.9	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NODE_54_length_1871_cov_48.197882||full	0.9	ssDNA
NODE_53_length_2483_cov_42.377805	1	4	3	2483	0.96	0.96	1	4	3	2483	NA	NA	0	1	4	3	2483	0.96	0.0	25.0	0.0	75.0	0.0	0.0	3	dsDNAphage	linear	NODE_53_length_2483_cov_42.377805||full	0.96	dsDNAphage
NODE_42_length_28167_cov_25.544785	1	42	3	28165	0.987	1.0	1	42	3	28165	NA	NA	0	1	42	3	28165	0.987	0.0	0.0	0.0	59.5	7.1	33.3	10	dsDNAphage	linear	NODE_42_length_28167_cov_25.544785||full	0.987	dsDNAphage
NODE_37_length_30915_cov_24.199948	1	45	3	30913	0.993	0.993	1	45	3	30913	NA	NA	0	1	45	3	30913	0.993	0.0	8.9	4.4	55.6	4.4	26.7	10	dsDNAphage	linear	NODE_37_length_30915_cov_24.199948||full	0.993	dsDNAphage
NODE_26_length_69351_cov_25.555706	1	92	35	69349	0.913	0.927	1	92	35	69349	NA	NA	0	1	92	35	69349	0.907	0.0	17.4	0.0	41.3	15.2	26.1	12	dsDNAphage	linear	NODE_26_length_69351_cov_25.555706||full	0.913	dsDNAphage
NODE_6_length_337179_cov_25.190334	125	205	124016	201713	0.907	0.933	125	205	124016	201713	0.907	1.0	1	1	333	580	337179	0.447	0.0	28.0	0.0	34.4	14.0	23.7	6	dsDNAphage	linear	NODE_6_length_337179_cov_25.190334||0_partial	0.907	dsDNAphage
NODE_5_length_346185_cov_23.753794	161	174	214214	227922	0.887	0.887	161	174	214214	227922	0.887	0.96	1	1	288	455	346184	0.167	0.0	11.5	0.0	19.2	11.5	57.7	1	dsDNAphage	linear	NODE_5_length_346185_cov_23.753794||0_partial	0.887	dsDNAphage
NODE_3_length_426691_cov_24.093319	341	367	404624	426691	0.947	0.947	341	367	404624	426691	0.947	0.947	1	1	367	176	426691	0.267	0.0	7.4	0.0	29.6	7.4	55.6	4	dsDNAphage	linear	NODE_3_length_426691_cov_24.093319||0_partial	0.947	dsDNAphage
NODE_18_length_119266_cov_24.188432	87	108	98386	119266	0.933	0.947	87	108	98386	119266	0.933	0.973	1	1	108	2	119266	0.533	0.0	22.7	0.0	45.5	4.5	27.3	4	dsDNAphage	linear	NODE_18_length_119266_cov_24.188432||0_partial	0.933	dsDNAphage
NODE_16_length_135289_cov_24.588113	45	97	46443	92118	0.88	0.88	45	97	46443	92118	0.88	0.973	1	1	134	144	135074	0.573	0.0	32.3	0.0	32.3	27.7	7.7	11	dsDNAphage	linear	NODE_16_length_135289_cov_24.588113||0_partial	0.88	dsDNAphage
